Date,France,Monde
Nov 1 2018,0.09,0.13
Nov 2 2018,0.16,0.17
Nov 3 2018,0.12,0.15
Nov 4 2018,0.12,0.12
Nov 5 2018,0.41,0.31
Nov 6 2018,0.57,0.56
Nov 7 2018,0.50,0.40
Nov 8 2018,0.44,0.41
Nov 9 2018,0.61,0.59
Nov 10 2018,0.67,0.71
Nov 11 2018,0.90,0.73
Nov 12 2018,2.12,1.89
Nov 13 2018,6.35,4.91
Nov 14 2018,9.59,7.89
Nov 15 2018,13.96,11.32
Nov 16 2018,32.43,26.63
Nov 17 2018,85.87,74.87
Nov 18 2018,47.37,40.58
Nov 19 2018,49.50,42.95
Nov 20 2018,36.45,31.78
Nov 21 2018,27.95,24.80
Nov 22 2018,22.29,20.12
Nov 23 2018,27.03,24.24
Nov 24 2018,69.99,60.32
Nov 25 2018,28.36,26.98
Nov 26 2018,19.30,16.92
Nov 27 2018,16.85,14.78
Nov 28 2018,16.11,14.64
Nov 29 2018,16.78,14.58
Nov 30 2018,23.54,20.51
Dec 1 2018,74.29,65.13
Dec 2 2018,47.49,47.76
Dec 3 2018,35.46,36.27
Dec 4 2018,30.29,29.69
Dec 5 2018,27.09,26.06
Dec 6 2018,33.20,29.80
Dec 7 2018,40.32,38.78
Dec 8 2018,100.00,100.00
Dec 9 2018,35.90,41.05
Dec 10 2018,27.19,31.23
Dec 11 2018,24.80,26.49
Dec 12 2018,0.00,0.00
Dec 13 2018,0.00,0.00
Dec 14 2018,0.00,0.00
