Indexed search interest in England players during the courese of the England v Tunisa World Cup game,,
Numbers represent search interest relative to the highest point on the chart for the given region and time. A value of 100 is the peak popularity for the term. A value of 50 means that the term is half as popular. A score of 0 means there was not enough data for this term.,,
Rank,Player,Search interest
1,Harry Kane,100
2,Harry Maguire,39
3,Kieran Trippier,33
4,Ruben Loftus-Cheek,26
5,Jordan Henderson,16
6,Marcus Rashford,14
7,Ashley Young,13
8,Dele Alli,13
9,Jesse Lingard,10
10,Kyle Walker,9
11,Jordan Pickford,8
12,Raheem Sterling,8
13,Jamie Vardy,6
14,John Stones,3
15,Eric Dier,3
16,Danny Welbeck,1
17,Trent Alexander-Arnold,1
18,Gary Cahill,1
19,Jack Butland,1
20,Danny Rose,1
21,Fabian Delph,1
22,Phil Jones,0
23,Nick Pope,0
