region,snow
Canillo (Andorra),100
Michigan (United States),35
Wisconsin (United States),33
Wales (United Kingdom),32
Vermont (United States),31
Ontario (Canada),24
Minnesota (United States),24
Maine (United States),24
Picardy (France),24
Tottori Prefecture (Japan),23
Nord-Pas-de-Calais (France),22
Upper Normandy (France),21
Illinois (United States),21
New Hampshire (United States),21
Lower Normandy (France),20
Lorraine (France),19
England (United Kingdom),18
Champagne-Ardenne (France),18
Île-de-France (France),18
Aosta (Italy),18
Colorado (United States),17
Franche-Comté (France),17
Iowa (United States),17
Hokkaido Prefecture (Japan),16
Auvergne (France),16
Rhone-Alpes (France),16
Tuscany (Italy),15
Yamagata Prefecture (Japan),15
Centre-Val de Loire (France),15
Trentino-Alto Adige/South Tyrol (Italy),15
Liguria (Italy),15
Limousin (France),15
Massachusetts (United States),15
Alabama (United States),14
Connecticut (United States),14
Basilicata (Italy),14
Walloon Region (Belgium),14
Piedmont (Italy),14
Fukui Prefecture (Japan),14
Burgundy (France),14
New York (United States),14
Lazio (Italy),13
Georgia (United States),13
Alsace (France),13
Pennsylvania (United States),13
Nagano Prefecture (Japan),13
Lombardy (Italy),13
Valais (Switzerland),13
Ticino (Switzerland),12
Montana (United States),12
Mie Prefecture (Japan),12
Ohio (United States),12
Midi-Pyrénées (France),12
Tennessee (United States),12
New Jersey (United States),11
Brittany (France),11
Vaud (Switzerland),11
Wyoming (United States),11
Niigata Prefecture (Japan),11
Maryland (United States),11
Québec (Canada),11
Delaware (United States),11
Pays de la Loire (France),10
Northern Ireland (United Kingdom),10
Emilia-Romagna (Italy),10
Provence-Alpes-Côte d'Azur (France),10
Gelderland (Netherlands),10
Luxembourg District (Luxembourg),10
Indiana (United States),10
Aragon (Spain),10
Gunma Prefecture (Japan),10
Languedoc-Roussillon (France),10
Overijssel (Netherlands),9
Flanders (Belgium),9
North Dakota (United States),9
Ibaraki Prefecture (Japan),9
Canton of Fribourg (Switzerland),9
Umbria (Italy),9
Rhode Island (United States),9
North Brabant (Netherlands),9
Drenthe (Netherlands),9
Aquitaine (France),9
Limburg (Netherlands),9
Utrecht (Netherlands),9
Ishikawa Prefecture (Japan),9
Mississippi (United States),9
Geneva (Switzerland),9
New Brunswick (Canada),9
Saratov Oblast (Russia),8
Scotland (United Kingdom),8
Kyoto Prefecture (Japan),8
District of Columbia (United States),8
Shiga Prefecture (Japan),8
Yamanashi Prefecture (Japan),8
West Virginia (United States),8
Poitou-Charentes (France),8
Chiba Prefecture (Japan),8
Groningen (Netherlands),8
Veneto (Italy),8
South Dakota (United States),8
Friesland (Netherlands),8
Virginia (United States),8
British Columbia (Canada),8
Aomori Prefecture (Japan),8
Navarre (Spain),8
Alaska (United States),8
Manitoba (Canada),7
Grisons (Switzerland),7
Marche (Italy),7
Flevoland (Netherlands),7
Akita Prefecture (Japan),7
Zeeland (Netherlands),7
Kentucky (United States),7
Newfoundland and Labrador (Canada),7
Zlin Region (Czech Republic),7
Saitama Prefecture (Japan),7
Vestfold (Norway),7
Saarland (Germany),7
Nebraska (United States),7
Utah (United States),7
Oregon (United States),7
Tyrol (Austria),7
Alberta (Canada),7
Idaho (United States),7
Tokyo (Japan),7
Iwate Prefecture (Japan),7
South Holland (Netherlands),7
Uttarakhand (India),7
Basque Country (Spain),7
Himachal Pradesh (India),7
Fukushima Prefecture (Japan),7
Friuli-Venezia Giulia (Italy),6
Tochigi Prefecture (Japan),6
Toyama Prefecture (Japan),6
Brussels (Belgium),6
Abruzzo (Italy),6
Okayama Prefecture (Japan),6
Oita Prefecture (Japan),6
Nara Prefecture (Japan),6
Mount Lebanon (Lebanon),6
Kanagawa Prefecture (Japan),6
