Country,Artist,May 3 2019,May 4 2019,May 5 2019,May 6 2019,May 7 2019,May 8 2019,May 9 2019,May 10 2019,May 11 2019,May 12 2019,May 13 2019,May 14 2019,May 15 2019,May 16 2019,May 17 2019
Albania,Jonida Maliqi,0.02,0.03,0.04,0.03,0.05,0.04,0.04,0.05,0.07,0.13,0.14,0.35,0.51,2.08,2.06
Australia,Kate Miller-Heidke,0.07,0.12,0.19,0.19,0.13,0.12,0.19,0.27,0.49,0.46,0.74,2.57,3.99,2.82,3.14
Azerbaijan,Chingiz,0.07,0.07,0.08,0.06,0.15,0.20,0.16,0.14,0.21,0.27,0.20,0.34,0.36,1.85,2.55
Belarus,ZENA,0.11,0.17,0.18,0.10,0.12,0.10,0.20,0.27,0.31,0.47,0.61,4.61,9.53,3.57,3.21
Cyprus,Tamta,0.24,0.89,0.56,0.35,0.31,0.21,0.40,0.40,0.59,0.67,0.65,3.95,4.12,2.48,1.50
Czechia,Lake Malawi,0.04,0.08,0.08,0.04,0.03,0.05,0.06,0.06,0.09,0.13,0.12,1.92,1.39,0.65,0.44
Denmark,Leonora,0.03,0.03,0.05,0.03,0.04,0.04,0.04,0.06,0.09,0.09,0.09,0.21,0.21,0.97,0.78
Estonia,Victor Crone,0.03,0.04,0.05,0.04,0.04,0.04,0.06,0.06,0.10,0.13,0.11,1.87,0.94,0.55,0.31
France,Bilal Hassani,0.65,1.01,1.24,0.39,0.42,0.55,0.38,0.71,1.48,1.83,1.80,9.06,11.20,8.03,6.57
Germany,S!sters,0.20,0.45,0.29,0.18,0.17,0.18,0.22,0.38,1.21,0.97,0.83,1.75,1.95,3.22,4.02
Greece,Katerine Duska,0.14,0.39,0.57,0.30,0.19,0.19,0.19,0.29,0.40,0.48,0.41,2.03,2.07,0.83,0.57
Iceland,Hatari,0.13,0.15,0.22,0.18,0.15,0.19,0.21,0.32,0.33,0.44,0.60,4.21,3.63,2.12,1.69
Israel,Kobi Marimi,0.07,0.08,0.07,0.08,0.10,0.10,0.13,0.21,0.29,0.37,0.32,0.83,0.71,0.79,0.81
Italy,Mahmood,0.22,0.26,0.24,0.17,0.19,0.25,0.33,0.50,0.66,0.81,0.61,2.51,1.78,6.05,3.13
Macedonia,Tamara Todevska,0.01,0.03,0.02,0.02,0.04,0.06,0.05,0.04,0.07,0.08,0.08,0.22,0.19,1.29,1.33
Malta,Michela Pace,0.02,0.02,0.03,0.03,0.08,0.04,0.05,0.06,0.10,0.09,0.09,0.14,0.15,0.81,0.73
Netherlands,Duncan Laurence,0.80,0.93,0.95,1.69,2.39,2.18,1.52,2.07,4.46,3.40,3.85,9.49,6.56,23.78,18.76
Norway,KEiiNO,0.06,0.07,0.07,0.04,0.07,0.07,0.07,0.08,0.15,0.17,0.14,0.25,0.25,1.37,1.13
Russia,Sergey Lazarev,1.50,1.65,1.70,1.29,1.80,2.09,1.81,2.74,3.63,3.88,3.83,15.15,17.70,35.35,100.00
San Marino,Serhat,0.03,0.04,0.07,0.04,0.03,0.03,0.04,0.05,0.08,0.09,0.10,2.03,1.41,0.81,0.46
Serbia,Nevena Božović,0.05,0.08,0.12,0.07,0.06,0.03,0.06,0.07,0.10,0.12,0.18,2.11,2.57,1.26,0.80
Slovenia,Zala Kralj and Gašper Šantl,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.07,0.77,0.92,0.42,0.22
Spain,Miki Núñez,0.19,0.28,0.27,0.17,0.29,0.56,1.04,1.99,2.67,2.89,2.11,3.48,3.18,3.35,2.89
Sweden,John Lundvik,0.07,0.09,0.10,0.09,0.09,0.13,0.14,0.24,0.35,0.34,0.34,0.88,0.68,3.37,3.55
Switzerland,Luca Hänni,0.17,0.19,0.32,0.25,0.17,0.22,0.20,0.32,0.62,0.60,0.51,1.77,1.41,8.85,11.74
United Kingdom,Michael Rice,0.57,0.24,0.15,0.10,0.11,0.16,0.12,0.19,0.28,0.33,0.32,0.94,0.79,1.52,1.81
