Parti politique,Apr 29 2019,Apr 30 2019,May 1 2019,May 2 2019,May 3 2019,May 4 2019,May 5 2019,May 6 2019,May 7 2019,May 8 2019,May 9 2019,May 10 2019,May 11 2019,May 12 2019,May 13 2019,May 14 2019,May 15 2019,May 16 2019,May 17 2019,May 18 2019,May 19 2019,May 20 2019,May 21 2019,May 22 2019,May 23 2019,May 24 2019,May 25 2019
Agir,1.48,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,1.56,1.68,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.60,0.00,0.00,0.00,0.00,0.00,1.72
Debout La France,4.44,3.66,4.43,4.02,2.32,7.18,2.17,3.53,4.08,4.45,5.92,8.25,2.52,3.96,4.49,5.64,7.59,7.23,5.10,8.31,4.78,6.74,7.93,10.08,8.33,16.67,14.20
Europe Écologie Les Verts,5.19,4.70,7.22,5.52,8.26,9.95,8.13,12.09,12.24,10.40,8.88,10.85,7.27,12.45,19.45,12.32,18.73,12.39,16.82,13.84,23.37,30.35,25.28,50.44,52.50,60.47,100.00
Generation.s,1.98,2.34,1.66,1.50,2.07,3.31,3.24,3.02,6.63,3.46,3.94,1.56,5.04,3.96,4.49,9.26,3.03,4.64,4.59,3.33,2.65,7.23,4.46,8.58,9.88,9.90,14.21
La France Insoumise,12.34,10.46,19.97,16.05,13.97,21.53,14.62,13.61,17.31,12.86,19.72,18.06,22.37,20.37,17.96,30.79,38.96,36.66,24.98,23.26,32.40,28.91,29.25,42.88,40.06,43.28,43.75
La République en Marche!,20.22,20.41,27.73,22.05,34.14,36.42,35.74,38.30,42.76,44.01,50.75,54.19,35.21,40.73,42.41,46.21,58.72,56.26,50.96,56.49,60.54,55.89,62.48,59.52,72.81,68.84,73.81
Les Patriotes,1.48,1.58,2.50,1.51,3.11,1.66,2.71,2.26,3.06,4.47,1.49,4.67,4.20,2.54,2.00,1.54,2.53,4.64,2.55,2.21,3.19,3.85,4.96,3.77,7.29,7.81,8.53
Les Républicains,9.37,9.94,6.10,12.53,12.42,17.67,13.01,16.63,18.32,12.86,16.75,17.54,16.77,28.83,17.96,16.94,20.74,19.09,16.82,16.62,14.86,22.64,22.80,21.69,27.05,29.74,39.20
Lutte Ouvrière,7.89,5.75,9.43,10.02,10.87,6.07,8.94,8.06,9.67,7.42,7.89,9.29,9.49,5.65,7.99,5.64,6.58,9.81,7.64,9.96,10.09,15.90,11.90,15.64,10.40,13.56,13.63
MoDEM,0.00,0.00,1.66,1.51,1.55,1.66,0.00,1.52,3.04,1.48,1.48,1.56,1.68,1.70,1.49,1.54,0.00,0.00,1.54,4.97,1.60,0.00,3.00,0.00,1.57,1.58,3.40
Mouvement radical,0.00,0.00,1.66,1.50,1.54,0.00,0.00,1.50,1.52,0.00,1.49,1.56,0.00,1.68,2.99,1.54,0.00,0.00,3.05,0.00,0.00,2.89,1.48,1.51,2.33,2.34,1.70
Parti communiste français,10.35,14.12,16.65,10.03,11.39,14.35,14.08,16.12,15.27,20.28,16.75,12.90,17.33,13.57,18.95,19.52,21.25,22.18,15.80,23.81,18.60,21.68,42.15,37.83,37.97,33.90,31.82
Parti Socialiste,36.49,36.61,26.07,33.09,36.73,36.42,46.57,36.28,35.14,36.58,40.39,39.23,32.97,37.89,37.42,48.25,51.11,66.08,49.46,49.29,65.33,48.18,59.51,95.86,55.64,72.47,66.45
Ralliement d'initiative citoyenne,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rassemblement National,19.74,14.11,31.05,21.05,12.41,17.12,22.74,19.15,20.87,20.78,21.19,19.61,23.47,27.16,15.96,20.54,27.84,28.91,28.55,29.90,29.19,21.68,27.77,43.85,40.05,35.99,43.17
Union des Démocrates et Indépendants,4.44,3.66,1.66,5.02,6.20,8.27,8.12,6.05,7.13,5.19,11.33,15.49,6.71,9.62,20.94,8.21,8.10,9.81,10.70,9.41,16.46,15.90,15.36,25.72,38.49,32.84,63.60
Union Populaire Républicaine,19.26,22.49,47.16,28.09,24.83,27.05,24.91,24.70,23.42,30.17,49.29,36.65,21.26,23.78,28.95,21.03,31.38,23.22,27.04,30.47,32.90,39.98,33.23,38.86,56.71,57.35,64.19
Urgence Écologie,1.48,1.56,1.66,1.50,1.54,3.30,2.44,1.51,1.53,2.23,2.95,2.58,2.51,1.70,4.49,2.31,4.05,3.10,3.06,3.88,3.98,5.07,7.44,13.13,13.52,15.65,36.35
