"Women's World Cup players ranked in search interest, June-July 2019, worldwide",,
Player,Country,Search interest
Alex Morgan,United States,100
Megan Rapinoe,United States,99
Marta,Brazil,18
Rose Lavelle,United States,11
Carli Lloyd,United States,9
Julie Ertz,United States,8
Christen Press,United States,8
Kelley O'Hara,United States,8
Tobin Heath,United States,7
Wendie Renard,France,7
Kosovare Asllani,Sweden,6
Lieke Martens,Netherlands,6
Amandine Henry,France,5
Ali Krieger,United States,5
Mallory Pugh,United States,4
Samantha Kerr,Australia,4
Christiane Endler,Chile,4
Daniëlle van de Donk,Netherlands,4
Lucy Bronze,England,4
Ashlyn Harris,United States,4
Eugénie Le Sommer,France,4
Jackie Groenen,Netherlands,4
Abby Dahlkemper,United States,3
Steph Houghton,England,3
Vivianne Miedema,Netherlands,3
Barbara Bonansea,Italy,3
Giulia Gwinn,Germany,3
Shanice van de Sanden,Netherlands,3
Cristiane Rozeira,Brazil,3
Alex Greenwood,England,3
Bárbara Micheline do Monte Barbosa,Brazil,2
Alexandra Long,United States,2
Alyssa Naeher,United States,2
Gaëtane Thiney,France,2
Formiga,Brazil,2
Sari van Veenendaal,Netherlands,2
Sakina Karchaoui,France,2
Valérie Gauvin,France,2
Crystal Dunn,United States,2
Lindsey Horan,United States,2
Millie Bright,England,2
Sofia Jakobsson,Sweden,2
Sara Gama,Italy,2
Amel Majri,France,2
Marion Torrent,France,2
Toni Duggan,England,2
Sara Däbritz,Germany,2
Dzsenifer Marozsán,Germany,2
Delphine Cascarino,France,2
Laura Giuliani,Italy,1
Jill Roord,Netherlands,1
Sherida Spitse,Netherlands,1
Nikita Parris,England,1
Sam Mewis,United States,1
Tamires Cássia Dias Gomes,Brazil,1
Christine Sinclair,Canada,1
Stina Blackstenius,Sweden,1
Rachel Daly,England,1
Sarah Bouhaddi,France,1
Magdalena Eriksson,Sweden,1
Débora Cristiane de Oliveira,Brazil,1
Caroline Seger,Sweden,1
Valentina Giacinti,Italy,1
Becky Sauerbrunn,United States,1
Nilla Fischer,Sweden,1
Cristiana Girelli,Italy,1
Jennifer Hermoso,Spain,1
Fran Kirby,England,1
Manuela Giugliano,Italy,1
Lina Hurtig,Sweden,1
Ellen White,England,1
Hedvig Lindahl,Sweden,1
Fridolina Rolfö,Sweden,1
Alexandra Popp,Germany,1
Jill Scott,England,1
Karen Carney,England,1
María Pilar León,Spain,1
Aurora Galli,Italy,1
Martina Rosucci,Italy,1
Beth Mead,England,1
Andressa Alves da Silva,Brazil,1
Caroline Graham Hansen,Norway,1
Estefanía Banini,Argentina,1
Griedge Mbock Bathy,France,1
Merel van Dongen,Netherlands,1
Kadidiatou Diani,France,1
Andressa Cavalari Machry,Brazil,1
Alia Guagni,Italy,1
Lena Goeßling,Germany,1
Lineth Beerensteyn,Netherlands,1
Stefanie van der Gragt,Netherlands,1
Jodie Taylor,England,1
Melanie Leupolz,Germany,1
Elin Rubensson,Sweden,1
Morgan Brian,United States,1
Kika van Es,Netherlands,1
Ellie Carpenter,Australia,1
Lina Magull,Germany,1
Karen Bardsley,England,1
Jordyn Huitema,Canada,1
Tierna Davidson,United States,1
Madelen Janogy,Sweden,0
Viviane Asseyi,France,0
Leah Williamson,England,0
Almuth Schult,Germany,0
Élise Bussaglia,France,0
Hanna Glas,Sweden,0
Ève Périsset,France,0
Yui Hasegawa,Japan,0
Sara Doorsoun-Khajeh,Germany,0
Jessica McDonald,United States,0
Estelle Johnson,Cameroon,0
Anouk Dekker,Netherlands,0
Alanna Kennedy,Australia,0
Thaisa,Brazil,0
Mana Iwabuchi,Japan,0
Aya Sameshima,Japan,0
Svenja Huth,Germany,0
Vanina Correa,Argentina,0
Desiree van Lunteren,Netherlands,0
Saki Kumagai,Japan,0
Adriana Leon,Canada,0
Claire Emslie,Scotland,0
Georgia Stanway,England,0
Adrianna Franch,United States,0
Emily Sonnett,United States,0
Jennifer Beattie,Scotland,0
Janine Beckie,Canada,0
Keira Walsh,England,0
Elena Linari,Italy,0
Erin Cuthbert,Scotland,0
Shelina Zadorsky,Canada,0
Daniela Sabatino,Italy,0
Guro Reiten,Norway,0
Valentina Cernoia,Italy,0
Carly Telford,England,0
Asisat Oshoala,Nigeria,0
Olivia Schough,Sweden,0
Isabell Herlovsen,Norway,0
Alexia Putellas,Spain,0
Linda Sembrant,Sweden,0
Lisa Evans,Scotland,0
Lea Schüller,Germany,0
Klara Bühl,Germany,0
Jessie Fleming,Canada,0
Ingrid Hjelmseth,Norway,0
Amanda Ilestedt,Sweden,0
Stephanie Labbé,Canada,0
Nothando Vilakazi,South Africa,0
Maria Thorisdóttir,Norway,0
Maren Mjelde,Norway,0
Letícia Santos,Brazil,0
Nathalie Björn,Sweden,0
Ludmila da Silva,Brazil,0
Risa Shimizu,Japan,0
Monica Hickmann Alves,Brazil,0
Sophie Schmidt,Canada,0
Lee Min-a,South Korea,0
Elisa Bartoli,Italy,0
Irene Paredes,Spain,0
Lisa-Marie Karlseng Utland,Norway,0
Demi Stokes,England,0
Valentina Bergamaschi,Italy,0
Florencia Bonsegundo,Argentina,0
Virginia Torrecilla,Spain,0
Nahikari García,Spain,0
Kim Little,Scotland,0
Beatriz Zaneratto João,Brazil,0
Chloe Logarzo,Australia,0
Marta Corredera,Spain,0
Vicky Losada,Spain,0
Ajara Nchout,Cameroon,0
Francisca Lara,Chile,0
Leila Ouahabi,Spain,0
Leonie Maier,Germany,0
Kadeisha Buchanan,Canada,0
Francisca Ordega,Nigeria,0
Lydia Williams,Australia,0
Cheyna Matthews,Jamaica,0
Ilaria Mauro,Italy,0
Gabrielle Onguene,Cameroon,0
Sole Jaimes,Argentina,0
Sandra Paños,Spain,0
Nichelle Prince,Canada,0
Jade Moore,England,0
Julia Zigiotti Olme,Sweden,0
Havana Solaun,Jamaica,0
Linda Dallmann,Germany,0
Grace Geyoro,France,0
Lisa De Vanna,Australia,0
Marina Hegering,Germany,0
Ngozi Ebere,Nigeria,0
Turid Knaak,Germany,0
Hayley Raso,Australia,0
Jayde Riviere,Canada,0
Aitana Bonmatí,Spain,0
Elise Kellond-Knight,Australia,0
Kathrin Hendrich,Germany,0
Wang Shuang,China,0
Emily van Egmond,Australia,0
Gabriela Patricia Chávez,Argentina,0
Natalie Juncos,Argentina,0
Adriana Sachs,Argentina,0
Mariela Coronel,Argentina,0
Agustina Barroso Basualdo,Argentina,0
Milagros Menéndez,Argentina,0
María Belén Potassa,Argentina,0
Yael Oviedo,Argentina,0
Vanesa Santana,Argentina,0
Ruth Bravo,Argentina,0
Lorena Benítez,Argentina,0
Solana Pereyra,Argentina,0
Virginia Gómez,Argentina,0
Aldana Cometti,Argentina,0
Miriam Mayorga,Argentina,0
Eliana Stábile,Argentina,0
Mariana Larroquette,Argentina,0
Gabriela Nicole Garton,Argentina,0
Dalila Belén Ippolito,Argentina,0
Aivi Luik,Australia,0
Mary Fowler,Australia,0
Teagan Micah,Australia,0
Laura Alleway,Australia,0
Caitlin Foord,Australia,0
Katrina Gorry,Australia,0
Clare Polkinghorne,Australia,0
Stephanie Catley,Australia,0
Tameka Yallop,Australia,0
Teigen Allen,Australia,0
Mackenzie Arnold,Australia,0
Emily Gielnik,Australia,0
Amy Harrison,Australia,0
Gema Simon,Australia,0
Tayla Pereira dos Santos,Brazil,0
Luana Bertolucci Paixão,Brazil,0
Geyse Ferreira,Brazil,0
Érika,Brazil,0
Fabiana da Silva Simões,Brazil,0
Kathellen Sousa,Brazil,0
Aline Villares Reis,Brazil,0
Camila Martins Pereira,Brazil,0
Raquel Fernandes,Brazil,0
Letícia Izidoro Lima da Silva,Brazil,0
Alexandra Takounda Engolo,Cameroon,0
Michaela Abam,Cameroon,0
Annette Ngo Ndom,Cameroon,0
Genevieve Ngo Mbeleck,Cameroon,0
Marthe Yolande Ongmahan,Cameroon,0
Ninon Abena,Cameroon,0
Marylse Ngo Ndoumbouk,Cameroon,0
Gaëlle Enganamouit,Cameroon,0
Raissa Feudjio,Cameroon,0
Henriette Akaba,Cameroon,0
Claudine Meffometou,Cameroon,0
Isabelle Mambingo,Cameroon,0
Ysis Sonkeng,Cameroon,0
Meyong Menene,Cameroon,0
Augustine Ejangue,Cameroon,0
Aurelle Awona,Cameroon,0
Madeleine Ngono,Cameroon,0
Yvonne Leuko,Cameroon,0
Jeannette Yango,Cameroon,0
Christine Manie,Cameroon,0
Jenna Hellstrom,Canada,0
Allysha Chapman,Canada,0
Kailen Sheridan,Canada,0
Shannon Woeller,Canada,0
Sabrina D'Angelo,Canada,0
Rebecca Quinn,Canada,0
Desiree Scott,Canada,0
Ashley Lawrence,Canada,0
Gabrielle Carle,Canada,0
Julia Grosso,Canada,0
Lindsay Agnew,Canada,0
Deanne Rose,Canada,0
Ryann Torrero,Chile,0
Camila Sáez,Chile,0
Yanara Aedo,Chile,0
Claudia Soto,Chile,0
Javiera Grez,Chile,0
Daniela Zamora,Chile,0
Elisa Durán,Chile,0
María José Rojas,Chile,0
Daniela Pardo,Chile,0
Natalia Campos,Chile,0
Carla Guerrero,Chile,0
María José Urrutia,Chile,0
Rocío Soto,Chile,0
Karen Araya,Chile,0
Rosario Balmaceda,Chile,0
Yessenia Huenteo,Chile,0
Valentina Díaz,Chile,0
Javiera Toro,Chile,0
Ana Gutiérrez,Chile,0
Su Helen Galaz,Chile,0
Yessenia López,Chile,0
Yang Li,China,0
Yao Wei,China,0
Tan Ruyin,China,0
Wu Haiyan,China,0
Li Jiayue,China,0
Lou Jiahui,China,0
Liu Shanshan,China,0
Yanqiu Liu,China,0
Zhang Rui,China,0
Bi Xiaolin,China,0
Wen Li,China,0
Yan Wang,China,0
Guiping Luo,China,0
Song Duan,China,0
Lin Yuping,China,0
Wang Ying,China,0
Han Peng,China,0
Wang Shanshan,China,0
Li Ying,China,0
Shimeng Peng,China,0
Huan Xu,China,0
Gu Yasha,China,0
Lucy Staniforth,England,0
Mary Earps,England,0
Abbie McManus,England,0
Maéva Clemaron,France,0
Charlotte Bilbault,France,0
Solène Durand,France,0
Julie Debever,France,0
Pauline Peyraud Magnin,France,0
Aïssatou Tounkara,France,0
Emelyne Laurent,France,0
Verena Schweers,Germany,0
Laura Benkarth,Germany,0
Carolin Simon,Germany,0
Merle Frohms,Germany,0
Lena Oberdorf,Germany,0
Johanna Elsig,Germany,0
Pauline Bremer,Germany,0
Lena Lattwein,Germany,0
Sydney Lohmann,Germany,0
Felicitas Rauch,Germany,0
Lisa Schmitz,Germany,0
Annamaria Serturini,Italy,0
Rosalia Pipitone,Italy,0
Alice Parisi,Italy,0
Laura Fusetti,Italy,0
Linda Tucceri Cimini,Italy,0
Stefania Tarenzi,Italy,0
Chiara Marchitelli,Italy,0
Lisa Boattin,Italy,0
Chinyelu Asher,Jamaica,0
Yazmeen Jamieson,Jamaica,0
Allyson Swaby,Jamaica,0
Trudi Carter,Jamaica,0
Kayla McCoy,Jamaica,0
Ashleigh Shim,Jamaica,0
Deneisha Blackwood,Jamaica,0
Olufolasade Adamolekun,Jamaica,0
Sashana Campbell,Jamaica,0
Dominique Bond-Flasza,Jamaica,0
Marlo Sweatman,Jamaica,0
Jody Brown,Jamaica,0
Toriana Patterson,Jamaica,0
Khadija Shaw,Jamaica,0
Konya Plummer,Jamaica,0
Sydney Schneider,Jamaica,0
Nicole McClure,Jamaica,0
Tiffany Cameron,Jamaica,0
Chanel Hudson-Marks,Jamaica,0
Chantelle Swaby,Jamaica,0
Lauren Silver,Jamaica,0
Emi Nakajima,Japan,0
Rumi Utsugi,Japan,0
Kumi Yokoyama,Japan,0
Rikako Kobayashi,Japan,0
Hina Sugita,Japan,0
Narumi Miura,Japan,0
Riko Ueki,Japan,0
Mizuho Sakaguchi,Japan,0
Ayaka Yamashita,Japan,0
Chika Hirao,Japan,0
Sakiko Ikeda,Japan,0
Moeka Minami,Japan,0
Asato Miyagawa,Japan,0
Shiori Miyake,Japan,0
Nana Ichise,Japan,0
Yuika Sugasawa,Japan,0
Jun Endo,Japan,0
Yuka Momiki,Japan,0
Victoria Pelova,Netherlands,0
Lize Kop,Netherlands,0
Dominique Bloodworth,Netherlands,0
Inessa Kaagman,Netherlands,0
Danique Kerkdijk,Netherlands,0
Ellen Jansen,Netherlands,0
Loes Geurts,Netherlands,0
Liza van der Most,Netherlands,0
Renate Jansen,Netherlands,0
Steph Skilton,New Zealand,0
Erin Nayler,New Zealand,0
Paige Satchell,New Zealand,0
Ali Riley,New Zealand,0
Rebekah Stott,New Zealand,0
Olivia Chance,New Zealand,0
Annalie Longo,New Zealand,0
Daisy Cleverley,New Zealand,0
Katie Bowen,New Zealand,0
Catherine Bott,New Zealand,0
Victoria Esson,New Zealand,0
Sarah Morton,New Zealand,0
Meikayla Moore,New Zealand,0
Betsy Hassett,New Zealand,0
Hannah Wilkinson,New Zealand,0
Rosie White,New Zealand,0
Nadia Olla,New Zealand,0
Abby Erceg,New Zealand,0
Ria Percival,New Zealand,0
Anna Green,New Zealand,0
Emma Kete,New Zealand,0
Sarah Gregorius,New Zealand,0
Katie Duncan,New Zealand,0
Chinwendu Ihezuo,Nigeria,0
Amarachi Okoronkwo,Nigeria,0
Faith Michael,Nigeria,0
Alice Ogebe,Nigeria,0
Alaba Jonathan,Nigeria,0
Chidinma Nkeruka Okeke,Nigeria,0
Halimatu Ayinde,Nigeria,0
Tochukwu Oluehi,Nigeria,0
Desire Oparanozie,Nigeria,0
Ogonna Chukwudi,Nigeria,0
Rasheedat Ajibade,Nigeria,0
Anam Imo,Nigeria,0
Uchenna Kanu,Nigeria,0
Evelyn Nwabuoku,Nigeria,0
Chinaza Uchendu,Nigeria,0
Rita Chikwelu,Nigeria,0
Chiamaka Nnadozie,Nigeria,0
Onome Ebi,Nigeria,0
Ngozi Okobi,Nigeria,0
Osinachi Ohale,Nigeria,0
Emilie Haavi,Norway,0
Vilde Bøe Risa,Norway,0
Amalie Eikeland,Norway,0
Elise Thorsnes,Norway,0
Oda Maria Hove Bogstad,Norway,0
Kristine Minde,Norway,0
Ingrid Syrstad Engen,Norway,0
Cecilie Fiskerstrand,Norway,0
Ingrid Moe Wold,Norway,0
Karina Sævik,Norway,0
Cecilie Redisch Kvamme,Norway,0
Emilie Nautnes,Norway,0
Therese Sessy Åsland,Norway,0
Frida Maanum,Norway,0
Synne Hansen,Norway,0
Stine Hovland,Norway,0
Jane Ross,Scotland,0
Joanne Love,Scotland,0
Lee Alexander,Scotland,0
Lizzie Arnot,Scotland,0
Lana Clelland,Scotland,0
Jenna Fife,Scotland,0
Caroline Weir,Scotland,0
Nicola Docherty,Scotland,0
Sophie Howard,Scotland,0
Fiona Brown,Scotland,0
Shannon Lynn,Scotland,0
Chloe Arthur,Scotland,0
Kirsty Smith,Scotland,0
Hayley Lauder,Scotland,0
Christie Murray,Scotland,0
Leanne Crichton,Scotland,0
Rachel Corsie,Scotland,0
Joelle Murray,Scotland,0
Bongeka Gamede,South Africa,0
Kholosa Biyana,South Africa,0
Andile Dlamini,South Africa,0
Kaylin Swart,South Africa,0
Sibulele Holweni,South Africa,0
Busisiwe Ndimeni,South Africa,0
Amanda Mthandi,South Africa,0
Leandra Smeda,South Africa,0
Ode Fulutudilu,South Africa,0
Karabo Dhlamini,South Africa,0
Jermaine Seoposenwe,South Africa,0
