Most Searched Costumes by State,,,,,
Costumes are shown in order of ranking,,,,,
Results are based on searches in September 2019,,,,,
State,1,2,3,4,5
Alaska,Pirate,IT,Sheriff Woody,Spider-Man,Elf
Alabama,Witch,1980s,IT,Descendants,Dinosaur
Arkansas,Witch,IT,Clown,Descendants,Pikachu
Arizona,Clown,Spider-Man,IT,Witch,Chucky
California,Chucky,Fortnite,Spider-Man,IT,Witch
Colorado,Dinosaur,Witch,IT,Pirate,1980s
Connecticut,Witch,Dinosaur,Descendants,Unicorn,Rabbit
District of Columbia,Scooby-Doo,Tiger,Skeleton,Spider-Man,Mermaid
Delaware,1980s,Descendants,Beetlejuice,Harley Quinn,Witch
Florida,Descendants,IT,Witch,Clown,1980s
Georgia,IT,Descendants,Witch,Spider-Man,1980s
Hawaii,Fortnite,PAW Patrol,Spider-Man,Toy Story,Dinosaur
Iowa,IT,Unicorn,Dinosaur,Fortnite,1980s
Idaho,Mermaid,Cowgirl,Fortnite,Wonder Woman,Miles Morales
Illinois,IT,Witch,Spider-Man,Dinosaur,Chucky
Indiana,Chucky,IT,Fortnite,Spider-Man,Dinosaur
Kansas,Toy Story,Dinosaur,Harley Quinn,IT,Chucky
Kentucky,IT,Witch,Descendants,Chucky,Spider-Man
Louisiana,IT,Witch,1980s,Clown,Dinosaur
Massachusetts,Dinosaur,Spider-Man,Witch,Descendants,Toy Story
Maryland,Spider-Man,Descendants,Witch,Fortnite,The Renaissance
Maine,Pirate,Clown,Dinosaur,Fortnite,Thor
Michigan,Witch,Descendants,IT,Dinosaur,Spider-Man
Minnesota,Dinosaur,The Renaissance,Unicorn,Witch,Descendants
Missouri,Witch,Dinosaur,IT,1980s,Descendants
Mississippi,1980s,Superhero,Fortnite,Spider-Man,IT
Montana,Clown,Doll,Hocus Pocus,Cruella de Vil,Belle
North Carolina,IT,Dinosaur,Fortnite,Spider-Man,Witch
North Dakota,Witch,Fortnite,Unicorn,"Monsters, Inc.",Dinosaur
Nebraska,Fortnite,IT,Descendants,Witch,Star Wars
New Hampshire,Dinosaur,Fox,Pirate,Pig,Descendants
New Jersey,Witch,Descendants,Chucky,IT,Spider-Man
New Mexico,IT,Clown,Spider-Man,Devil,Witch
Nevada,IT,Chucky,Spider-Man,Clown,Dinosaur
New York,Witch,Spider-Man,Descendants,Rabbit,Chucky
Ohio,IT,Witch,Spider-Man,Clown,Dinosaur
Oklahoma,Dinosaur,IT,Witch,Descendants,Clown
Oregon,Witch,Dinosaur,Superhero,IT,Pirate
Pennsylvania,IT,Witch,Dinosaur,Spider-Man,Descendants
Rhode Island,Dinosaur,Oogie Boogie,Descendants,IT,Fortnite
South Carolina,IT,Descendants,Witch,Dinosaur,Chucky
South Dakota,Dinosaur,Horse,Fortnite,1980s,IT
Tennessee,IT,Witch,Fortnite,Clown,1980s
Texas,IT,Clown,Fortnite,Spider-Man,Witch
Utah,Witch,Descendants,Spider-Man,Clown,Devil
Virginia,IT,Witch,Dinosaur,Spider-Man,Descendants
Vermont,Dragon,Where's Waldo,Peppa Pig,Maleficent,Maleficent
Washington,Dinosaur,IT,Witch,Fortnite,Pirate
Wisconsin,IT,Dinosaur,Witch,Descendants,Superhero
West Virginia,Witch,Spider-Man,Harley Quinn,Dinosaur,Fortnite
Wyoming,The Mad Hatter,Joker,1980s,Chucky,Power Rangers
