"Top countries searching for Black Friday, 7 days to 11/23/2018 GMT11.20",
Country,indexVal
South Africa,100.00
United States,54.22
Lesotho,49.49
Greece,45.92
Spain,41.51
Namibia,38.92
United Kingdom,38.51
Netherlands,37.87
Italy,37.49
Ireland,35.71
Hungary,34.42
Canada,32.98
Switzerland,32.46
Finland,32.23
France,31.78
Germany,28.41
Bulgaria,27.89
Denmark,25.27
Croatia,24.23
Belgium,23.62
Malta,22.53
Sweden,21.72
Cyprus,21.27
Poland,20.85
Norway,20.03
Romania,19.42
Austria,19.24
Portugal,19.06
Israel,18.87
Zambia,18.84
Luxembourg,17.69
Zimbabwe,17.53
New Zealand,17.31
Barbados,17.24
Singapore,17.22
Australia,16.50
Brazil,13.52
Slovenia,12.41
Slovakia,12.41
Czech Republic,11.69
Ukraine,10.94
Belarus,10.68
Iceland,8.68
Dominican Republic,8.61
Colombia,8.21
Hong Kong,8.18
Russia,8.01
Belize,7.93
Nigeria,7.73
Serbia,7.67
Reunion,7.41
Kenya,7.03
Bosnia and Herzegovina,7.00
Estonia,6.66
Ghana,6.41
Panama,6.31
Turkey,5.62
Japan,5.52
Kosovo,5.34
Ecuador,5.31
Qatar,5.29
Latvia,5.20
United Arab Emirates,5.03
Tunisia,5.00
Palestine,4.73
Costa Rica,4.62
Lithuania,4.47
Uruguay,4.33
Albania,4.31
Vietnam,4.16
Chile,4.10
Georgia,4.00
Jordan,3.91
Morocco,3.87
China,3.76
Mexico,3.60
South Korea,3.54
Peru,3.49
Malaysia,3.49
Argentina,3.41
Azerbaijan,3.34
Armenia,3.32
Pakistan,3.31
Moldova,3.29
Guatemala,3.20
Bolivia,2.97
Kuwait,2.91
Kazakhstan,2.90
Paraguay,2.89
Taiwan,2.61
Egypt,2.36
Saudi Arabia,2.08
Algeria,1.92
Philippines,1.87
Venezuela,1.79
Bangladesh,1.63
Tanzania,1.33
Iran,1.27
Thailand,1.09
India,1.06
