Country,Top searched,Second,Third,Fourth,Fifth
Afghanistan,Qatar,Argentina,Ecuador,Portugal,Iran
Åland Islands,Morocco,Portugal,Qatar,Belgium,England
Albania,Qatar,Ecuador,Argentina,Brazil,Portugal
Algeria,Qatar,Argentina,Ecuador,Portugal,Morocco
American Samoa,Australia,Qatar,England,Portugal,Denmark
Andorra,Argentina,Spain,Ecuador,Qatar,Portugal
Angola,Portugal,Ecuador,Qatar,Argentina,Brazil
Anguilla,Australia,Cameroon,Qatar,Ghana,Iran
Antarctica,Poland,Poland,Poland,Poland,Cameroon
Antigua and Barbuda,Ecuador,Qatar,Argentina,Portugal,England
Argentina,Argentina,Ecuador,Qatar,Brazil,Mexico
Armenia,Argentina,Portugal,Ecuador,Qatar,Brazil
Aruba,Qatar,Ecuador,Argentina,Netherlands,Brazil
Australia,Qatar,Ecuador,England,Australia,Argentina
Austria,Ecuador,Qatar,Germany,Argentina,Brazil
Azerbaijan,Argentina,Portugal,Ecuador,Qatar,Brazil
Bahrain,Qatar,Argentina,Ecuador,Portugal,Brazil
Bangladesh,Argentina,Brazil,Qatar,Ecuador,Germany
Barbados,Ecuador,Qatar,Argentina,Brazil,England
Belarus,Ecuador,Portugal,Argentina,England,Brazil
Belgium,Belgium,Qatar,Ecuador,France,Morocco
Belize,Argentina,Qatar,Ecuador,Portugal,Mexico
Benin,Qatar,Ecuador,Portugal,Argentina,Brazil
Bermuda,Ecuador,England,Qatar,Portugal,Brazil
Bhutan,Ecuador,Qatar,Argentina,Portugal,Brazil
Bolivia,Qatar,Ecuador,Argentina,Portugal,Brazil
Bosnia and Herzegovina,Serbia,Brazil,Croatia,France,Ecuador
Botswana,Qatar,Ecuador,Argentina,Portugal,Brazil
Bouvet Island,Netherlands,Netherlands,Netherlands,Netherlands,Cameroon
Brazil,Brazil,Ecuador,Qatar,Argentina,Serbia
British Indian Ocean Territory,USA,USA,USA,Belgium,Spain
British Virgin Islands,Qatar,Ecuador,England,Brazil,USA
Brunei,Qatar,Ecuador,Argentina,England,Portugal
Bulgaria,Argentina,Ecuador,Portugal,Qatar,England
Burkina Faso,Ecuador,Qatar,Argentina,Portugal,Brazil
Burundi,Ecuador,Qatar,Portugal,Argentina,Brazil
Cambodia,Qatar,Ecuador,Argentina,Portugal,England
Cameroon,Cameroon,Qatar,Ecuador,Portugal,Switzerland
Canada,Qatar,Ecuador,Argentina,Portugal,Brazil
Cape Verde,Portugal,Qatar,Argentina,Ecuador,Brazil
Caribbean Netherlands,Ecuador,Netherlands,Qatar,Argentina,Brazil
Cayman Islands,Qatar,Ecuador,Argentina,Brazil,England
Central African Republic,Qatar,Portugal,Argentina,Ecuador,Cameroon
Chad,Qatar,Ecuador,Argentina,Cameroon,Portugal
Chile,Ecuador,Qatar,Poland,Argentina,Brazil
China,Qatar,Ecuador,England,Argentina,Brazil
Christmas Island,Senegal,Spain,South Korea,England,Brazil
Cocos (Keeling) Islands,Ecuador,Ecuador,Ecuador,Ecuador,Ecuador
Collectivity of Saint Martin,France,Qatar,Brazil,Ecuador,Argentina
Colombia,Ecuador,Qatar,Argentina,Portugal,Brazil
Comoros,Qatar,France,Ecuador,Argentina,Portugal
Cook Islands,Serbia,England,Cameroon,Brazil,Switzerland
Costa Rica,Costa Rica,Qatar,Ecuador,Argentina,Spain
Côte d'Ivoire,Qatar,Ecuador,Argentina,Portugal,Brazil
Croatia,Croatia,Brazil,Serbia,Belgium,England
Cuba,Argentina,Qatar,Ecuador,Portugal,Brazil
Curaçao,Ecuador,Qatar,Netherlands,Argentina,Brazil
Cyprus,Qatar,Ecuador,Argentina,Portugal,England
Czech Republic,Argentina,Qatar,Portugal,Ecuador,France
Democratic Republic of the Congo,Qatar,Ecuador,Argentina,Portugal,Brazil
Denmark,Denmark,Argentina,England,Ecuador,Brazil
Djibouti,Qatar,Ecuador,Argentina,France,Portugal
Dominica,Ecuador,Qatar,Portugal,Argentina,Brazil
Dominican Republic,Qatar,Ecuador,Argentina,Brazil,Portugal
Ecuador,Ecuador,Qatar,Argentina,Netherlands,Portugal
Egypt,Belgium,Qatar,Argentina,Ecuador,Portugal
El Salvador,Ecuador,Qatar,Argentina,Portugal,Brazil
Equatorial Guinea,Qatar,Spain,Ecuador,Argentina,Portugal
Eritrea,Netherlands,Saudi Arabia,Morocco,Brazil,Argentina
Estonia,Qatar,Ecuador,Argentina,Brazil,England
Ethiopia,Qatar,Ecuador,Argentina,Portugal,Brazil
Falkland Islands (Islas Malvinas),England,Ecuador,Qatar,Netherlands,Morocco
Faroe Islands,Qatar,Ecuador,Argentina,England,Brazil
Federated States of Micronesia,Ghana,Ecuador,Senegal,Wales,Portugal
Fiji,Portugal,Argentina,Qatar,Ecuador,Brazil
Finland,Qatar,Ecuador,Argentina,England,Brazil
France,France,Qatar,Portugal,Ecuador,Argentina
French Guiana,France,Brazil,Qatar,Argentina,Ecuador
French Polynesia,France,Argentina,Qatar,Brazil,Portugal
French Southern and Antarctic Lands,Senegal,USA,Argentina,Ecuador,Ecuador
Gabon,Portugal,Argentina,Qatar,Cameroon,France
Georgia,Argentina,Ecuador,Qatar,Portugal,Morocco
