"Most Searched Costumes by State, September 2022, US",,,,,
Costumes are shown in order of ranking,,,,,
State,1,2,3,4,5
Alaska,Rabbit,Bluey,Stranger Things,Toy Story,Bear
Alabama,Witch,Dinosaur,Harley Quinn,Cheerleader,Pirate
Arkansas,Cheerleader,Stranger Things,Top Gun,Witch,Pirate
Arizona,Dinosaur,Witch,Fairy,Spider-Man,Stranger Things
California,Spider-Man,Dinosaur,Witch,Fairy,Rabbit
Colorado,Witch,Dinosaur,Stranger Things,Spider-Man,Pumpkin
Connecticut,Stranger Things,Fairy,Dinosaur,Spider-Man,Pumpkin
District of Columbia,Paw Patrol,Spider,Cheerleader,Spider-Man,The Renaissance
Delaware,Rabbit,Witch,The Wizard Of Oz,Wilma Flintstone,Harley Quinn
Florida,Pirate,Rabbit,Witch,Fairy,Stranger Things
Georgia,Spider-Man,Fairy,Dinosaur,Witch,Cheerleader
Hawaii,Maui,Stranger Things,Pirate,Skeleton,1970S
Iowa,Witch,Dinosaur,Spider-Man,Cheerleader,Rabbit
Idaho,Witch,Spider-Man,Tinker Bell,Fairy,1980S
Illinois,Stranger Things,Witch,Dinosaur,Spider-Man,Cheerleader
Indiana,Spider-Man,Dinosaur,Rabbit,Fairy,Harley Quinn
Kansas,Fairy,Witch,Spider-Man,Cheerleader,Stranger Things
Kentucky,Witch,Dinosaur,Clown,Hocus Pocus,Ghost
Louisiana,Stranger Things,Pirate,Cowboy,Witch,Rabbit
Massachusetts,Dinosaur,Spider-Man,Fairy,Stranger Things,Witch
Maryland,Fairy,The Renaissance,Pirate,Rabbit,Dinosaur
Maine,Pirate,Horse,Fairy,Witch,1980S
Michigan,Witch,Dinosaur,Fairy,Spider-Man,The Renaissance
Minnesota,The Renaissance,Fairy,Stranger Things,Dinosaur,Clown
Missouri,Witch,Dinosaur,Spider-Man,Stranger Things,Hocus Pocus
Mississippi,1980S,Harley Quinn,Spider-Man,Witch,Cowboy
Montana,Witch,Rabbit,Zombie,Fairy,Cheerleader
North Carolina,Fairy,Spider-Man,Witch,Harley Quinn,Dinosaur
North Dakota,Pirate,Stranger Things,Horse,Dinosaur,Chicken
Nebraska,Dinosaur,Spider,Bluey,Zombie,Toy Story
New Hampshire,Stranger Things,Dinosaur,Ghost,Hocus Pocus,Witch
New Jersey,Spider-Man,Witch,Rabbit,Zombie,Stranger Things
New Mexico,Clown,Dinosaur,Rabbit,Spider-Man,Pirate
Nevada,Spider-Man,Rabbit,Witch,Stranger Things,Vampire
New York,Fairy,Witch,Spider-Man,Stranger Things,Rabbit
Ohio,Dinosaur,Stranger Things,Spider-Man,Witch,Cowboy
Oklahoma,Fairy,Stranger Things,Witch,Pirate,Dinosaur
Oregon,Fairy,Dinosaur,Rabbit,Stranger Things,Bear
Pennsylvania,Stranger Things,Dinosaur,Witch,Rabbit,Spider-Man
Rhode Island,Vampire,Chucky,Spider-Man,Witch,Ninja
South Carolina,Cheerleader,Spider-Man,Pirate,Fairy,Harley Quinn
South Dakota,Dinosaur,Star Wars,Vikings,Buzz Lightyear,Bluey
Tennessee,Dinosaur,Witch,Spider-Man,Harley Quinn,Chucky
Texas,Spider-Man,Dinosaur,Pirate,Witch,Cheerleader
Utah,Witch,Top Gun,Alien,Pirate,Dinosaur
Virginia,Spider-Man,Dinosaur,Rabbit,Stranger Things,Witch
Vermont,1980S,Chucky,Tinker Bell,Stranger Things,Michael Myers
Washington,Witch,Pirate,Spider-Man,1980S,Fairy
Wisconsin,Spider-Man,Witch,Stranger Things,Pumpkin,Rabbit
West Virginia,Witch,Stranger Things,Hocus Pocus,Bluey,Toy Story
Wyoming,Toy Story,Pirate,Witch,Pikachu,Tinker Bell
