Top trending recipes in New York City over the past year,
Period,11/11/2021 - 11/10/2022
Location,New York City
,
Rank,Food
1,Turkey brine
2,Minestrone soup
3,Zucchini bread
4,Cucumber salad
5,Pancake
6,Pasta primavera
7,Tuna salad
8,Deviled eggs
9,Lemon pasta
10,Espresso martini
11,Overnight oats
12,Gingerbread cookie
13,Sazerac
14,Blueberry muffin
15,Gin martini
16,Caesar salad
17,Cranberry sauce
18,Chicken noodle soup
19,Baba ganoush
20,Turkey chili
21,Curry
22,Tikka masala
23,Arugula salads
24,Stuffed peppers
25,Shirley temple
26,Lentil soup
27,Roasted broccoli
28,Manhattan cocktail
29,Old fashioned
30,Borscht
31,Butter chicken
32,Peach cobbler
33,Nacho
34,Gimlet
35,White russian
36,Caesar dressing
37,Skinny margarita
38,Banana pudding
39,Chocolate chip cookie
40,Cosmopolitan
41,Chocolate cake
42,Pumpkin bread
43,Beet salad
44,Alfredo sauce
45,Vanilla cupcake
46,Marinara sauce
47,Lemon chicken
48,Chia pudding
49,Amaretto sour
50,Candied yams
