"Weekly search interest in all Brazil's presidential candidates along 2018. Search interest indexed to each candidate individually, from 0 to 100, where 100 means the highest search interest and 0 means the lowest or that there has not been enough data. Use this table if you'd like to see individual spikes in each candidate. To see how they conpare to each other, check table https://github.com/GoogleTrends/data/blob/master/Brazil_Presidential_Candidates_2018_Compared.csv",,,,,,,,,,,,,
Week,Álvaro Dias,Cabo Daciolo,Ciro Gomes,Eymael,Fernando Haddad,Geraldo Alckmin,Guilherme Boulos,Henrique Meirelles,Jair Bolsonaro,João Amoêdo,João Goulart Filho,Marina Silva,Vera Lúcia
Dec 31 2017,9,0,4,1,0,7,2,6,2,1,0,3,0
Jan 07 2018,6,0,3,1,0,5,3,10,4,2,0,3,0
Jan 14 2018,7,0,3,2,1,6,2,8,2,1,0,3,0
Jan 21 2018,12,0,8,7,1,7,5,14,3,2,0,5,0
Jan 28 2018,8,0,6,4,0,6,5,6,3,2,0,4,0
Feb 04 2018,5,0,4,3,1,6,4,6,2,1,0,4,0
Feb 11 2018,7,0,4,1,0,5,3,5,3,2,0,9,0
Feb 18 2018,8,0,4,2,0,5,2,9,3,1,0,5,0
Feb 25 2018,6,0,3,2,0,8,3,8,2,2,0,4,13
Mar 04 2018,7,0,5,2,0,6,25,8,3,2,0,4,0
Mar 11 2018,9,0,5,4,0,7,17,12,3,2,2,4,0
Mar 18 2018,7,0,4,3,0,6,9,9,3,2,0,4,0
Mar 25 2018,11,0,4,1,0,8,7,19,4,2,0,4,0
Apr 01 2018,11,0,7,3,1,13,24,17,4,3,0,5,6
Apr 08 2018,17,0,22,1,1,46,21,12,5,5,2,10,13
Apr 15 2018,12,0,6,3,0,11,20,6,4,5,0,11,0
Apr 22 2018,8,0,6,2,1,7,6,6,3,3,0,8,19
Apr 29 2018,7,2,6,3,1,6,28,4,2,2,0,8,7
May 06 2018,12,0,7,3,1,8,56,4,2,3,0,6,0
May 13 2018,9,0,7,2,0,6,16,6,2,2,0,4,0
May 20 2018,11,0,9,2,0,10,23,28,3,8,0,7,0
May 27 2018,17,1,18,2,0,7,14,27,4,6,0,6,0
Jun 03 2018,16,0,10,3,1,9,15,9,3,4,0,7,0
Jun 10 2018,10,0,9,1,1,8,7,12,2,4,0,8,12
Jun 17 2018,6,0,11,1,0,12,6,5,2,2,0,6,0
Jun 24 2018,5,0,7,1,1,7,6,7,2,3,2,6,0
Jul 01 2018,11,0,7,1,1,6,6,4,2,2,0,6,0
Jul 08 2018,11,0,7,3,1,7,5,6,3,3,0,6,0
Jul 15 2018,10,0,14,3,1,14,9,10,4,3,0,7,7
Jul 22 2018,14,1,12,7,1,26,13,13,6,6,5,11,20
Jul 29 2018,48,0,26,7,1,45,23,30,16,13,5,25,32
Aug 05 2018,100,39,34,25,10,61,100,71,14,29,65,31,31
Aug 12 2018,41,26,22,14,5,35,76,65,11,61,26,28,63
Aug 19 2018,35,12,21,38,9,32,49,38,13,73,59,43,25
Aug 26 2018,41,9,62,38,10,96,62,52,39,100,73,100,50
Sep 02 2018,46,11,53,46,22,78,69,100,100,58,81,67,86
Sep 09 2018,52,15,95,66,61,60,65,86,62,34,100,65,100
Sep 16 2018,64,22,100,100,82,76,61,81,52,36,57,66,95
Sep 23 2018,55,57,67,81,72,80,55,87,56,37,26,67,100
Sep 30 2018,79,100,81,73,100,100,68,83,95,45,59,86,0
