"Indexed search interest in all players and managers in the Bundesliga 2017-18. Data from the beginning of the season in August 2017, to April 9 2018",,,
Player,Team,Position,Index
Bernd Leno,Bayer Leverkusen,Goal keeper,7
Niklas Lomb,Bayer Leverkusen,Goal keeper,0
Ramazan Özcan,Bayer Leverkusen,Goal keeper,1
Sven Bender,Bayer Leverkusen,Defence,6
Benjamin Henrichs,Bayer Leverkusen,Defence,1
Tin Jedvaj,Bayer Leverkusen,Defence,1
Panagiotis Retsos,Bayer Leverkusen,Defence,2
Jonathan Tah,Bayer Leverkusen,Defence,14
Wendell,Bayer Leverkusen,Defence,3
Atakan Akkaynak,Bayer Leverkusen,Midfield,0
Charles Aránguiz,Bayer Leverkusen,Midfield,2
Leon Bailey,Bayer Leverkusen,Midfield,9
Julian Baumgartlinger,Bayer Leverkusen,Midfield,2
Karim Bellarabi,Bayer Leverkusen,Midfield,6
Lars Bender,Bayer Leverkusen,Midfield,5
Julian Brandt,Bayer Leverkusen,Midfield,7
Marlon Frey,Bayer Leverkusen,Midfield,0
Kai Havertz,Bayer Leverkusen,Midfield,2
Dominik Kohr,Bayer Leverkusen,Midfield,2
Sam Schreck,Bayer Leverkusen,Midfield,0
Vladlen Yurchenko,Bayer Leverkusen,Midfield,0
Lucas Alario,Bayer Leverkusen,Forward,6
Stefan Kießling,Bayer Leverkusen,Forward,5
Joel Pohjanpalo,Bayer Leverkusen,Forward,1
Kevin Volland,Bayer Leverkusen,Forward,7
Heiko Herrlich,Bayer Leverkusen,Manager,14
Roman Weidenfeller,Borussia Dortmund,Goal keeper,7
Dominik Reimann,Borussia Dortmund,Goal keeper,0
Roman Bürki,Borussia Dortmund,Goal keeper,22
Dan-Axel Zagadou,Borussia Dortmund,Defence,0
Raphael Guerreiro,Borussia Dortmund,Defence,6
Jeremy Toljan,Borussia Dortmund,Defence,6
Manuel Akanji,Borussia Dortmund,Defence,6
Sokratis Papastathopoulos,Borussia Dortmund,Defence,10
Lukasz Piszczek,Borussia Dortmund,Defence,7
Marcel Schmelzer,Borussia Dortmund,Defence,13
Ömer Toprak,Borussia Dortmund,Defence,9
Erik Durm,Borussia Dortmund,Defence,9
Jadon Sancho,Borussia Dortmund,Midfield,4
Nuri Sahin,Borussia Dortmund,Midfield,11
Mario Götze,Borussia Dortmund,Midfield,68
Sebastian Rode,Borussia Dortmund,Midfield,4
Mahmoud Dahoud,Borussia Dortmund,Midfield,7
Christian Pulisic,Borussia Dortmund,Midfield,14
Shinji Kagawa,Borussia Dortmund,Midfield,8
Gonzalo Castro,Borussia Dortmund,Midfield,5
Julian Weigl,Borussia Dortmund,Midfield,8
Andriy Yarmolenko,Borussia Dortmund,Forward,21
Marco Reus,Borussia Dortmund,Forward,57
Alexander Isak,Borussia Dortmund,Forward,6
Maximilian Philipp,Borussia Dortmund,Forward,10
André Schürrle,Borussia Dortmund,Forward,17
Michy Batshuayi,Borussia Dortmund,Forward,26
Peter Stöger,Borussia Dortmund,Manager,29
Yann Sommer,Borussia Mönchengladbach,Goal keeper,5
Tobias Sippel,Borussia Mönchengladbach,Goal keeper,1
Christofer Heimeroth,Borussia Mönchengladbach,Goal keeper,0
Moritz Nicolas,Borussia Mönchengladbach,Goal keeper,0
Reece Oxford,Borussia Mönchengladbach,Defence,3
Jannik Vestergaard,Borussia Mönchengladbach,Defence,4
Oscar Wendt,Borussia Mönchengladbach,Defence,1
Tony Jantschke,Borussia Mönchengladbach,Defence,1
Matthias Ginter,Borussia Mönchengladbach,Defence,8
Mamadou Doucouré,Borussia Mönchengladbach,Defence,1
Nico Elvedi,Borussia Mönchengladbach,Defence,2
Tobias Strobl,Borussia Mönchengladbach,Midfield,1
Christoph Kramer,Borussia Mönchengladbach,Midfield,5
Denis Zakaria,Borussia Mönchengladbach,Midfield,2
Ibrahima Traoure,Borussia Mönchengladbach,Midfield,0
Fabian Johnson,Borussia Mönchengladbach,Midfield,1
László Bénes,Borussia Mönchengladbach,Midfield,0
Jonas Hofmann,Borussia Mönchengladbach,Midfield,2
Mickaël Cuisance,Borussia Mönchengladbach,Midfield,0
Vincenzo Grifo,Borussia Mönchengladbach,Midfield,6
Dieter Hecking,Borussia Mönchengladbach,Manager,6
Lukáš Hrádecký,Eintracht Frankfurt,Goal keeper,3
Leon Bätge,Eintracht Frankfurt,Goal keeper,0
Jan Zimmermann,Eintracht Frankfurt,Goal keeper,1
Simon Falette,Eintracht Frankfurt,Defence,1
Carlos Salcedo,Eintracht Frankfurt,Defence,1
Jetro Willems,Eintracht Frankfurt,Defence,2
David Abraham,Eintracht Frankfurt,Defence,2
Timothy Chandler,Eintracht Frankfurt,Defence,2
Marco Russ,Eintracht Frankfurt,Defence,2
Danny Da Costa,Eintracht Frankfurt,Defence,1
Deji-Ousman Beyreuther,Eintracht Frankfurt,Defence,0
Taleb Tawatha,Eintracht Frankfurt,Defence,1
Noel Knothe,Eintracht Frankfurt,Defence,0
Gelson Fernandes,Eintracht Frankfurt,Midfield,0
Jonathan de Guzmán,Eintracht Frankfurt,Midfield,1
Danny Blum,Eintracht Frankfurt,Midfield,1
Marco Fabián,Eintracht Frankfurt,Midfield,4
Mijat Gaćinović,Eintracht Frankfurt,Midfield,2
Kevin-Prince Boateng,Eintracht Frankfurt,Midfield,14
Makoto Hasebe,Eintracht Frankfurt,Midfield,2
Marc Stendera,Eintracht Frankfurt,Midfield,2
Marius Wolf,Eintracht Frankfurt,Midfield,3
Aymen Barkok,Eintracht Frankfurt,Midfield,2
Şahverdi Çetin,Eintracht Frankfurt,Midfield,0
Nelson Mandela Mbouhom,Eintracht Frankfurt,Midfield,0
Omar Mascarell,Eintracht Frankfurt,Midfield,2
Daichi Kamada,Eintracht Frankfurt,Midfield,0
Marijan Ćavar,Eintracht Frankfurt,Midfield,0
Luka Jović,Eintracht Frankfurt,Forward,2
Sébastien Haller,Eintracht Frankfurt,Forward,2
Alexander Meier,Eintracht Frankfurt,Forward,7
Branimir Hrgota,Eintracht Frankfurt,Forward,1
Renat Dadaşov,Eintracht Frankfurt,Forward,0
Niko Kovač,Eintracht Frankfurt,Manager,17
Andreas Luthe,FC Augsburg,Goal keeper,0
Fabian Giefer,FC Augsburg,Goal keeper,1
Ioannis Gelios,FC Augsburg,Goal keeper,0
Marwin Hitz,FC Augsburg,Goal keeper,2
Daniel Opare,FC Augsburg,Defence,3
Jeffrey Gouweleeuw,FC Augsburg,Defence,1
Christoph Janker,FC Augsburg,Defence,0
Kilian Jakob,FC Augsburg,Defence,0
Philipp Max,FC Augsburg,Defence,4
Raphael Framberger,FC Augsburg,Defence,0
Martin Hinteregger,FC Augsburg,Defence,2
Kevin Danso,FC Augsburg,Defence,1
Marcel Heller,FC Augsburg,Midfield,1
Rani Khedira,FC Augsburg,Midfield,3
Shawn Parker,FC Augsburg,Midfield,0
Daniel Baier,FC Augsburg,Midfield,6
Jan Moravek,FC Augsburg,Midfield,0
Jonathan Schmid,FC Augsburg,Midfield,0
Ja-Cheol Koo,FC Augsburg,Midfield,3
Gojko Kacar,FC Augsburg,Midfield,2
Francisco da Silva Caiuby,FC Augsburg,Midfield,2
Michael Gregoritsch,FC Augsburg,Forward,4
Sergio Córdova,FC Augsburg,Forward,0
Marco Richter,FC Augsburg,Forward,1
Alfred Finnbogason,FC Augsburg,Forward,5
Manuel Baum,FC Augsburg,Manager,2
Manuel Neuer,FC Bayern München,Goal keeper,100
Tom Starke,FC Bayern München,Goal keeper,4
Sven Ulreich,FC Bayern München,Goal keeper,11
Christian Früchtl,FC Bayern München,Goal keeper,2
Niklas Süle,FC Bayern München,Defence,16
Mats Hummels,FC Bayern München,Defence,58
Javi Martínez,FC Bayern München,Defence,10
Rafinha,FC Bayern München,Defence,6
Juan Bernat,FC Bayern München,Defence,5
Jérôme Boateng,FC Bayern München,Defence,46
Felix Götze,FC Bayern München,Defence,2
David Alaba,FC Bayern München,Defence,20
Joshua Kimmich,FC Bayern München,Defence,42
Thiago,FC Bayern München,Midfield,18
Franck Ribéry,FC Bayern München,Midfield,42
Arjen Robben,FC Bayern München,Midfield,45
James Rodríguez,FC Bayern München,Midfield,39
Sebastian Rudy,FC Bayern München,Midfield,15
Arturo Vidal,FC Bayern München,Midfield,23
Corentin Tolisso,FC Bayern München,Midfield,14
Kingsley Coman,FC Bayern München,Midfield,17
Niklas Dorsch,FC Bayern München,Midfield,2
Fabian Benko,FC Bayern München,Midfield,1
Sandro Wagner,FC Bayern München,Forward,33
Robert Lewandowski,FC Bayern München,Forward,90
Thomas Müller,FC Bayern München,Forward,59
Jupp Heynckes,FC Bayern München,Manager,73
Timo Horn,FC Köln,Goal keeper,6
Thomas Kessler,FC Köln,Goal keeper,1
Sven Müller,FC Köln,Goal keeper,3
Dominique Heintz,FC Köln,Defence,2
Frederik Sørensen,FC Köln,Defence,1
Dominic Maroh,FC Köln,Defence,2
Pawel Olkowski,FC Köln,Defence,1
Jorge Meré,FC Köln,Defence,1
Jannes Horn,FC Köln,Defence,1
Lukas Klünter,FC Köln,Defence,2
João Ricardo Pereira Queirós,FC Köln,Defence,0
Tim Handwerker,FC Köln,Defence,1
Marco Höger,FC Köln,Midfield,1
Marcel Risse,FC Köln,Midfield,3
Miloš Jojić,FC Köln,Midfield,2
Jonas Hector,FC Köln,Midfield,11
Christian Clemens,FC Köln,Midfield,1
Salih Özcan,FC Köln,Midfield,1
Leonardo Bittencourt,FC Köln,Midfield,5
Matthias Lehmann,FC Köln,Midfield,2
Nikolas Nartey,FC Köln,Midfield,0
Vincent Koziello,FC Köln,Midfield,4
Simon Terodde,FC Köln,Forward,12
Simon Zoller,FC Köln,Forward,3
Yuya Osako,FC Köln,Forward,2
Jhon Córdoba,FC Köln,Forward,2
Sehrou Guirassy,FC Köln,Forward,2
Claudio Pizarro,FC Köln,Forward,19
Stefan Ruthenbeck,FC Köln,Manager,5
Ralf Fährmann,FC Schalke 04,Goal keeper,5
Christian Wetklo,FC Schalke 04,Goal keeper,0
Janik Schilder,FC Schalke 04,Goal keeper,0
Denis Wieszolek,FC Schalke 04,Goal keeper,0
