"Indexed Google search interest for all Bundesliga teams in the 2017-18 season by German region. Data is from the first match of the season up to April 12, 2018.",,,,,,,,,,,,,,,,,,,
Region,Code,Bayer Leverkusen,Borussia Dortmund,Borussia Moenchengladbach,Eintracht Frankfurt,FC Augsburg,FC Bayern Muenchen,FC Koeln,FC Schalke,FSV Mainz 05,Hamburger SV,Hannover 96,Hertha Berlin,RB Leipzig,SC Freiburg,SV Werder Bremen,TSG 1899 Hoffenheim,VfB Stuttgart,VfL Wolfsburg
Baden-Wuerttemberg,BW,3,43,8,6,3,62,7,14,3,15,2,3,5,25,6,15,100,3
Bayern,BY,2,29,4,4,10,100,4,9,1,9,1,3,5,2,4,3,8,3
Berlin,BE,5,71,8,7,3,69,8,18,3,23,5,100,21,4,18,5,9,6
Brandenburg,BB,6,100,10,7,2,78,8,18,2,30,3,76,24,3,34,5,10,6
Bremen,HB,2,11,2,1,1,12,2,5,1,15,3,2,1,1,100,2,1,2
Hamburg,HH,2,23,4,3,1,22,4,9,2,100,6,3,3,2,14,3,4,3
Hessen,HE,5,72,16,100,3,75,13,31,14,28,4,5,8,4,11,8,13,5
Mecklenburg-Vorpommern,MV,6,100,7,6,2,81,6,21,2,72,6,15,27,3,26,6,8,6
Niedersachsen,NI,6,77,15,7,3,65,11,33,4,100,74,7,7,4,91,5,9,30
Nordrhein-Westfalen,NW,9,100,24,4,2,36,33,59,2,14,3,3,3,2,7,3,4,3
Rheinland-Pfalz,RP,9,84,26,20,3,100,36,40,42,29,3,6,7,5,12,12,13,5
Saarland,SL,6,91,19,11,2,100,14,24,9,23,2,3,6,6,11,8,12,4
Sachsen,SN,3,38,3,3,1,39,3,9,1,10,2,3,100,1,5,2,4,2
Sachsen-Anhalt,ST,5,100,10,7,2,86,8,26,2,34,6,10,85,2,19,3,9,14
Schleswig-Holstein,SH,2,26,4,2,1,24,4,9,2,100,3,3,3,2,11,2,2,2
Thueringen,TH,5,98,10,13,2,100,9,29,2,27,4,6,68,3,17,4,7,5
