Most searched costume by state,,,,,
Costumes are shown in order of ranking,,,,,
Results are based on searches in September 2018,,,,,
State,#1,#2,#3,#4,#5
Alaska,Mermaid,Pirate,Unicorn,Spider-Man,Dinosaur
Alabama,Fortnite,Superhero,Mouse,Princess,1980s
Arkansas,Dinosaur,Spider-Man,Fortnite,Witch,Superhero
Arizona,Fortnite,Spider-Man,Dinosaur,Witch,Unicorn
California,Fortnite,Spider-Man,Unicorn,Dinosaur,Wonder Woman
Colorado,Fortnite,Spider-Man,Unicorn,Witch,Vampire
Connecticut,Fortnite,Unicorn,Dinosaur,Superhero,Princess
District of Columbia,Spider-Man,Ninja,The Incredibles,1980s,Astronaut
Delaware,Fortnite,Spider-Man,Superhero,Batman,Mouse
Florida,Fortnite,Spider-Man,Pirate,Unicorn,Dinosaur
Georgia,Fortnite,Dinosaur,Spider-Man,Unicorn,Black Panther
Hawaii,Fortnite,Dinosaur,Moana,Astronaut,Unicorn
Iowa,Fortnite,Dinosaur,Witch,Spider-Man,Mermaid
Idaho,Unicorn,Fairy,Witch,Spider-Man,The Incredibles
Illinois,Fortnite,Unicorn,Witch,Spider-Man,Dinosaur
Indiana,Fortnite,Spider-Man,Unicorn,Dinosaur,Harley Quinn
Kansas,Fortnite,Unicorn,Dinosaur,Spider-Man,Rabbit
Kentucky,Fortnite,Unicorn,Spider-Man,Dinosaur,Witch
Louisiana,Fortnite,Unicorn,Princess,Spider-Man,Mermaid
Massachusetts,Fortnite,Dinosaur,Unicorn,Rabbit,The Incredibles
Maryland,Fortnite,Dinosaur,Unicorn,Witch,Black Panther
Maine,Fortnite,Unicorn,Spider-Man,Witch,Pirate
Michigan,Fortnite,Dinosaur,Unicorn,Witch,Spider-Man
Minnesota,Fortnite,Dinosaur,Unicorn,Witch,Spider-Man
Missouri,Fortnite,Spider-Man,Unicorn,Witch,Dinosaur
Mississippi,Fortnite,Superhero,Harley Quinn,Unicorn,Rabbit
Montana,Fortnite,Dinosaur,Black Panther,Pirate,Pirate
North Carolina,Fortnite,Spider-Man,Dinosaur,Unicorn,Mermaid
North Dakota,Fortnite,Dinosaur,Unicorn,Vampire,Monster
Nebraska,Fortnite,Dinosaur,Mermaid,Monster,Zombie
New Hampshire,Fortnite,Dinosaur,Ladybug,Spider-Man,The Incredibles
New Jersey,Fortnite,Unicorn,Spider-Man,Zombie,Superhero
New Mexico,Fortnite,Unicorn,Clown,Harley Quinn,Doll
Nevada,Fortnite,Ninja,Harley Quinn,Unicorn,Dinosaur
New York,Fortnite,Spider-Man,Unicorn,Witch,Dinosaur
Ohio,Fortnite,Dinosaur,Unicorn,Spider-Man,Witch
Oklahoma,Fortnite,Unicorn,Spider-Man,Harley Quinn,Doll
Oregon,Dinosaur,Fortnite,Unicorn,Spider-Man,Pirate
Pennsylvania,Fortnite,Unicorn,Spider-Man,Dinosaur,Witch
Rhode Island,Fortnite,Princess,Ghost,Unicorn,Harley Quinn
South Carolina,Fortnite,Spider-Man,Harley Quinn,Dinosaur,Superhero
South Dakota,Spider-Man,Pirate,Dinosaur,Wonder Woman,1980s
Tennessee,Fortnite,Spider-Man,Dinosaur,Pirate,Zombie
Texas,Fortnite,Spider-Man,Dinosaur,Unicorn,Harley Quinn
Utah,Unicorn,Fortnite,Spider-Man,Spider-Man,Pirate
Virginia,Fortnite,Spider-Man,Unicorn,Dinosaur,Pirate
Vermont,Monster,Rabbit,Wednesday Addams,Belle,Princess
Washington,Fortnite,Spider-Man,Unicorn,Dinosaur,Witch
Wisconsin,Fortnite,Dinosaur,Unicorn,Spider-Man,Doll
West Virginia,Fortnite,Unicorn,Witch,Superhero,Princess
Wyoming,Fortnite,Arrow,Unicorn,Zombie,Raccoon
