"Search interest on Brazil's presidential candidates, broke down by region. Data from Jan 1st, 2018 to Sep 23rd, 2018. Search interest is presented in an index from 0 to 100, where 100 is the highest search interest. Source: Google Trends",,,,,,,,,,,,,
Região,Álvaro Dias,Cabo Daciolo,Ciro Gomes,Eymael,Fernando Haddad,Geraldo Alckmin,Guilherme Boulos,Henrique Meirelles,Jair Bolsonaro,João Amoedo,João Goulart Filho,Marina Silva,Vera Lúcia
Acre,37,38,32,100,60,56,63,59,86,48,0,100,0
Alagoas,41,54,46,37,70,62,53,31,82,34,0,53,0
Amazonas,37,41,37,21,67,45,46,42,79,56,0,50,0
Amapá,33,35,42,0,53,43,70,47,82,60,0,46,0
Bahia,39,50,49,29,89,60,62,46,77,44,56,54,12
Ceará,37,51,100,36,85,68,69,40,84,46,61,58,11
Distrito Federal,77,89,66,67,84,92,100,100,100,74,92,87,16
Espírito Santo,36,60,48,28,71,50,64,43,86,69,0,65,0
Goiás,46,55,45,34,80,54,56,97,93,75,59,53,15
Maranhão,31,46,54,14,77,54,48,39,88,39,0,60,0
Minas Gerais,47,58,51,41,83,62,75,57,94,92,66,63,10
Mato Grosso do Sul,55,50,41,32,74,62,50,46,88,67,0,49,0
Mato Grosso,50,46,38,36,78,50,53,51,91,66,0,49,0
Pará,33,46,47,26,71,50,55,38,86,51,0,51,0
Paraíba,40,60,72,45,87,69,78,48,94,69,0,58,0
Pernambuco,41,58,61,36,89,60,71,44,90,61,60,62,0
Piauí,49,43,71,39,100,78,64,41,88,52,0,69,0
Paraná,100,51,37,35,80,49,68,53,79,89,60,55,16
Rio de Janeiro,45,100,59,44,65,66,97,50,96,66,100,66,13
Rio Grande do Norte,56,54,74,42,81,57,72,46,90,66,92,71,0
Rondônia,55,61,38,0,71,49,48,34,96,62,0,53,0
Roraima,29,46,53,0,59,31,75,44,95,64,0,78,0
Rio Grande do Sul,59,55,45,40,78,57,80,61,84,66,73,58,10
Santa Catarina,75,59,41,40,79,61,71,56,86,100,87,55,13
Sergipe,36,34,58,37,81,55,68,47,76,39,0,55,100
São Paulo,52,56,42,38,68,100,98,59,74,91,58,58,11
Tocantins,41,62,49,51,84,50,49,46,90,49,0,63,0
