"Search interest in James Comey by county over the past week in the US, April 12, 2018 - April 18, 2018",
Search interest has been indexed to 100 where 100 is the maximum search interest in the given time period. ,
County,Search Interest
"Autauga County, Alabama",9
"Baldwin County, Alabama",14
"Barbour County, Alabama",11
"Bibb County, Alabama",6
"Blount County, Alabama",9
"Bullock County, Alabama",4
"Butler County, Alabama",14
"Calhoun County, Alabama",9
"Chambers County, Alabama",8
"Cherokee County, Alabama",7
"Chilton County, Alabama",5
"Choctaw County, Alabama",6
"Clarke County, Alabama",5
"Clay County, Alabama",9
"Cleburne County, Alabama",10
"Coffee County, Alabama",8
"Colbert County, Alabama",9
"Conecuh County, Alabama",11
"Coosa County, Alabama",15
"Covington County, Alabama",18
"Crenshaw County, Alabama",7
"Cullman County, Alabama",10
"Dale County, Alabama",7
"Dallas County, Alabama",7
"DeKalb County, Alabama",10
"Elmore County, Alabama",11
"Escambia County, Alabama",12
"Etowah County, Alabama",9
"Fayette County, Alabama",9
"Franklin County, Alabama",11
"Geneva County, Alabama",9
"Greene County, Alabama",18
"Hale County, Alabama",10
"Henry County, Alabama",8
"Houston County, Alabama",10
"Jackson County, Alabama",11
"Jefferson County, Alabama",14
"Lamar County, Alabama",7
"Lauderdale County, Alabama",12
"Lawrence County, Alabama",6
"Lee County, Alabama",10
"Limestone County, Alabama",13
"Lowndes County, Alabama",10
"Macon County, Alabama",15
"Madison County, Alabama",17
"Marengo County, Alabama",12
"Marion County, Alabama",8
"Marshall County, Alabama",8
"Mobile County, Alabama",11
"Monroe County, Alabama",5
"Montgomery County, Alabama",10
"Morgan County, Alabama",12
"Perry County, Alabama",3
"Pickens County, Alabama",10
"Pike County, Alabama",7
"Randolph County, Alabama",8
"Russell County, Alabama",11
"St. Clair County, Alabama",10
"Shelby County, Alabama",14
"Sumter County, Alabama",6
"Talladega County, Alabama",7
"Tallapoosa County, Alabama",7
"Tuscaloosa County, Alabama",13
"Walker County, Alabama",6
"Washington County, Alabama",3
"Wilcox County, Alabama",0
"Winston County, Alabama",10
"Aleutians East, Alaska",0
"Aleutians West, Alaska",4
"Anchorage, Alaska",14
"Bethel, Alaska",9
"Bristol Bay, Alaska",0
"Denali, Alaska",25
"Dillingham, Alaska",36
"Fairbanks North Star, Alaska",15
"Haines, Alaska",15
"Juneau, Alaska",25
"Kenai Peninsula Borough, Alaska",16
"Ketchikan Gateway, Alaska",0
"Kodiak Island, Alaska",14
"Lake and Peninsula, Alaska",0
"Matanuska-Susitna, Alaska",13
"Nome, Alaska",9
"North Slope, Alaska",13
"Northwest Arctic, Alaska",6
"Prince of Wales-Hyder Census Area, Alaska",16
"Sitka, Alaska",14
"Hoonah-Angoon, Alaska",0
"Southeast Fairbanks, Alaska",18
"Valdez-Cordova, Alaska",13
"Wade Hampton, Alaska",0
"Petersburg Borough, Alaska",14
"Yakutat, Alaska",0
"Yukon-Koyukuk, Alaska",18
"Apache County, Arizona",8
"Cochise County, Arizona",16
"Coconino County, Arizona",16
"Gila County, Arizona",21
"Graham County, Arizona",9
"Greenlee County, Arizona",8
"La Paz County, Arizona",10
"Maricopa County, Arizona",18
"Mohave County, Arizona",17
"Navajo County, Arizona",13
"Pima County, Arizona",22
"Pinal County, Arizona",16
"Santa Cruz County, Arizona",11
"Yavapai County, Arizona",26
"Yuma County, Arizona",11
"Arkansas County, Arkansas",7
"Ashley County, Arkansas",6
"Baxter County, Arkansas",12
"Benton County, Arkansas",13
"Boone County, Arkansas",7
"Bradley County, Arkansas",5
"Calhoun County, Arkansas",15
"Carroll County, Arkansas",17
"Chicot County, Arkansas",5
"Clark County, Arkansas",6
"Clay County, Arkansas",5
"Cleburne County, Arkansas",17
"Cleveland County, Arkansas",8
"Columbia County, Arkansas",8
"Conway County, Arkansas",11
"Craighead County, Arkansas",11
"Crawford County, Arkansas",10
"Crittenden County, Arkansas",10
"Cross County, Arkansas",11
"Dallas County, Arkansas",10
"Desha County, Arkansas",17
"Drew County, Arkansas",5
"Faulkner County, Arkansas",12
"Franklin County, Arkansas",10
"Fulton County, Arkansas",10
"Garland County, Arkansas",15
"Grant County, Arkansas",7
"Greene County, Arkansas",13
"Hempstead County, Arkansas",7
"Hot Spring County, Arkansas",11
