District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Alaska At-Large,AK-AL,AK,Medicaid,Health care,Immigration,Medicare,Mental health,Abortion,Minimum wage,Obamacare,Income tax,Islam,1.5,6.75,0.15,0.17,0.02,0.38,0.04,0.17,0.21,0.07,0.15,0.01,0.27,1.18,0.5,0.04,1.69,0.62,0.74,0.11,0.44,0.03,0.06,0.05,0,0.01,0.2,2.05,0.16,0,0.08,0.05,0.87,0.22,0.06,1.26,1,0.02,0.23,0.01,0.11,0.83,0,0.43,0.23,1.08,0.93,0.36,15.41,0.21,14.54,0.25,5.14,0.14,0.56,3.85,0,0.01,0.09,0,2.17,0,0.01,0.99,0.31,0,17.14,13.75,11.27,0.04,0.11,0.41,6.01,0.06,1.76,0.13,0.24,1.29,0.13,0.01,0,2.16,5.33,0,0.05,0.49,0.07,0.97,0.92,3.66,0.08,0.01,0,0,0.08,2.4,0.73,0.05,0.01,0.02,0.08,0.29,0.81,3.15,0.38,0,0.32,3.03,0.04,0.07,0.74,0.03,1.96,0,0.02,3.53,2.79,0.05,0,0.02,2.45,0.04,0.34,0.07,0.05,0.17,0.86,0.03,1.94
Alabama 1st,AL-01,AL,Medicare,Medicaid,Immigration,Social security,Health care,Mental health,Obamacare,Electoral college,Abortion,Capital punishment,1.37,3.19,0,0.32,0,1.33,0,0.14,0,0,0,0,0.65,3.02,0.45,0.13,0.13,2.71,1.57,0,0.56,0,0,0,0,0,0,3.78,0,0,0.19,0,0,0.31,0,1.11,2.94,0,0.18,0,0.17,0,0,0,0.13,0.45,0.34,0.6,7.34,0.69,11.85,0.14,1.7,1.09,1.7,0.17,0,0,0,0,2.09,0,0.46,2.18,0.46,0,13.07,17.74,5.42,0.13,0.18,0.26,1.46,0.19,0.57,0,0.84,0.81,0.62,0,0,1.69,4.25,0,0,0.84,0,0,1.81,1.65,0.18,0,0,0,0,2.24,1.56,0,0,0,0,0.14,0,1.33,0.45,0,1.37,8.19,0.68,0.13,0.13,0,2.13,0,0,1.38,1.63,0,0,0,1.9,0,0.13,0.85,0.52,0,0,0,0.27
Alabama 2nd,AL-02,AL,Health care,Immigration,Medicaid,Medicare,Mental health,Terrorism,Social security,United Nations,Property taxes,Capital punishment,0.52,2.71,0.05,0.4,0,0.99,0.66,0.57,0,0.5,0,0,0.05,3.76,0.09,0.54,0.14,2.84,1.67,0,0.2,0,0,0,0,0.05,0.1,0.45,0.1,0,0,0.15,0,0.54,0.1,0.96,0.34,0,0.34,0.1,0.24,0.1,0,0.66,0.67,0.14,0,0.69,13.84,0,11.93,0,2.54,0.6,0.3,2.12,0,0,0,0,0.91,0.05,0,0,0.57,0,10,8.97,6.03,0.14,0.97,2.3,2.36,0,1.18,1.13,0.7,3.15,0,0,0,1.99,2.41,0,0.05,2.5,0,0.14,2.25,0.78,0,0.1,0,0,0.1,3.78,0.94,0,0,0,0,0.88,0.53,2.99,0.43,0,0.09,5.18,0,0.19,0.05,0,1.93,0,0,5.42,2.06,0.05,0,0,4.67,0.1,0.48,0,0.57,0.09,0.05,0,0.5
Alabama 3rd,AL-03,AL,September 11 attacks,Income tax,Social security,Medicare,Health care,Minimum wage,Electoral college,Nuclear power,2003 Invasion of Iraq,Abortion,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.02,0,0,0,20.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0,0,0,0,7.09,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.34,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama 4th,AL-04,AL,Islam,Health care,Medicare,Medicaid,Immigration,Mental health,September 11 attacks,Social security,Capital punishment,Nuclear power,0.24,4.68,0,0,0,1.25,0,0.26,0,0.25,0,0,0.24,5.07,0.71,0.26,2.65,1.69,1.17,0,0.25,0,0.26,0,0,0,0.26,1.02,0,0,0,0.5,0,1.23,0.25,0.48,0.25,0,0.75,0.25,1.18,0.25,0,2.78,0.26,1.2,0,0.5,16.3,0.51,10.93,0.25,4.31,0.51,0.5,41.74,0,0,0,0,0.24,0,0,0.73,0.24,0,12.35,15.07,10.4,0.49,0,0.5,3.59,0,0,0.76,0.25,0.48,0.47,0,0,4.99,1.66,0,0,0.49,0.24,0.24,2.2,0.48,0.25,0,0,0,0,4.01,0.48,0,0,0,0,0.25,0,5.75,0.49,0,0,5.2,0,0.71,0,0,0.71,0,0,2.99,1.87,0,0,0,1.93,0,0,0,0.48,0,0.25,0,0.25
Alabama 5th,AL-05,AL,Islam,Health care,Medicare,Medicaid,Immigration,Mental health,September 11 attacks,Social security,Capital punishment,Nuclear power,0.24,4.68,0,0,0,1.25,0,0.26,0,0.25,0,0,0.24,5.07,0.71,0.26,2.65,1.69,1.17,0,0.25,0,0.26,0,0,0,0.26,1.02,0,0,0,0.5,0,1.23,0.25,0.48,0.25,0,0.75,0.25,1.18,0.25,0,2.78,0.26,1.2,0,0.5,16.3,0.51,10.93,0.25,4.31,0.51,0.5,41.74,0,0,0,0,0.24,0,0,0.73,0.24,0,12.35,15.07,10.4,0.49,0,0.5,3.59,0,0,0.76,0.25,0.48,0.47,0,0,4.99,1.66,0,0,0.49,0.24,0.24,2.2,0.48,0.25,0,0,0,0,4.01,0.48,0,0,0,0,0.25,0,5.75,0.49,0,0,5.2,0,0.71,0,0,0.71,0,0,2.99,1.87,0,0,0,1.93,0,0,0,0.48,0,0.25,0,0.25
Alabama 6th,AL-06,AL,Immigration,Abortion,Medicaid,Mental health,Common core,Health care,Medicare,Federal reserve system,Social security,Nuclear power,0.85,11.67,0.43,0.91,0,1.31,0,0.94,0.88,0,0,0,0,5.56,0.43,0,1.35,7.01,1.7,0.45,0,0,0,0,0,0,0,0.89,0.45,0,0,0,0,0,0,6.54,1.33,0,0,0.9,0,0,0,0,0.46,3.04,0.45,0.45,6.88,0,25.03,0.91,0.9,1.38,1.38,1.74,0,0,0,0,0,0,0,0.44,0,0,10.71,6.76,7.31,0.45,0.44,0.45,2.62,0,0.87,0.46,0.91,0,0,0,0,6.07,1.3,0,0,0.89,0,0,2.68,0.88,0,0,0,0,0,3.86,0,0,0,0,0,0.92,0,2.73,0.43,0,0,6.43,0,0.43,0.44,0,1.72,0,0.44,1.33,0.43,0,0,0.45,2.19,0,0.44,0,0,0,0,0,0
Alabama 7th,AL-07,AL,Health care,Medicaid,Immigration,Mental health,Medicare,Abortion,Social security,Capital punishment,Property taxes,Minimum wage,0.19,7.83,0.24,1.1,0,1.11,0.03,0.63,0.1,0.21,0.43,0.04,0.27,4.46,0.73,0.11,1.29,2.19,2.11,0.22,0.42,0.05,0.07,0.02,0.04,0,0.34,1.4,0.24,0,0.19,0.16,0.37,0.53,0.19,2.44,1.75,0.06,0.86,0.04,0.49,0.32,0,1.02,0.53,2,0.55,0.73,19.54,0.42,11.9,0.67,3.19,0.5,0.66,3.78,0,0.03,0.04,0,1.31,0,0.02,1.62,0.32,0,14.15,9.95,9.96,0.06,0.21,0.59,3.86,0.43,0.58,1.09,1.41,1.32,0.22,0,0,1.43,3.31,0,0.09,0.56,0.28,0.31,2.27,0.8,0.08,0,0,0.14,0.08,3.87,0.93,0.11,0,0.02,0.06,1.01,0.04,2.9,0.53,0,0.51,5.16,0.11,0.12,0.27,0.13,1.23,0,0.06,2.84,1.31,0.19,0,0.02,2.27,0.15,0.45,0.22,0.13,0.31,0.42,0.02,0.84
Arkansas 1st,AR-01,AR,Health care,Medicaid,Mental health,ISIS,Medicare,Immigration,Social security,LGBT adoption rights,Abortion,Federal reserve system,5.13,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,41.19,0,15.55,0,0,0,16.52,0,0,0,0,0,0,5.48,0,0,0,0,21.51,16.25,20.6,0,0,0,5.17,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas 2nd,AR-02,AR,Immigration,Health care,Mental health,Medicaid,Medicare,Lockheed Martin F-35,Social security,Capital punishment,Abortion,Minimum wage,0.38,5.87,0.13,0.22,0.04,0.55,0.03,0.17,0,0.87,0.34,0.01,0.25,6.13,3.47,0.07,0.79,3.04,3.64,0.18,0.74,0.01,0.44,0.09,0,0,0.14,0.48,0.14,0,0.08,0.15,0.11,0.23,0.01,1.93,0.87,0.4,1.65,0.12,0.13,0.12,0,1.04,0.29,0.77,0.45,0.9,12.03,0.56,15,0.17,1.29,0.12,1.61,2.82,0,0,0,0,0.53,0.02,0.06,0.4,9.21,0,10.78,10.76,11.11,0.04,0.05,2.19,5.02,0.16,0.67,0.44,0.27,1.13,0.61,0,0,2.26,1.51,0,0.03,1.06,0.02,0.18,1.46,1.29,0.09,0.02,0,0.05,0.08,4.65,1.02,0.08,0,0,0.02,0.27,0.12,2.96,0.2,0,0.25,7.68,0.02,0.02,0.06,0.43,0.97,0,0.09,3.38,1.03,0.04,0,0.01,1.71,0.09,0.47,0.07,0.07,0.08,0.59,0.01,0.75
