District - 13 Sept 2018,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Alaska At-Large,AK-AL,AK,Minimum wage,September 11 attacks,Health care,Medicaid,Mental health,Medicare,Abortion,Social security,Immigration,Property taxes,0.0964,2.0679,0.0564,0.4683,0.0035,0.1736,0.0074,0.1535,0.0072,0.0113,0.0652,0.0074,0.2385,0.6427,0.8935,0.0333,0.4492,1.0384,0.9638,0.1236,0.0931,0.0075,0.0264,0.0415,0.0069,0,0.1132,0.1689,0.0037,0,0.0583,0.0495,0.0533,0.0814,0.0313,0.2334,0.4515,0.0381,0.274,0.0072,0.0327,0.0374,0,0.267,0.0527,0.2975,0.0678,0.4114,6.3674,0.1161,1.8988,0.0444,0.9989,0.1855,0.4834,0.8956,0,0,0.0107,0,0.5563,0,0.0288,0.1029,0.3908,0,6.305,3.3458,4.3501,0.011,0.1456,0.3114,15.7669,0.079,0.2102,0.2109,0.1429,0.3943,0.3852,0.0036,0,0.3022,0.6066,0.0036,0.0214,0.3954,0.0245,0.1017,1.1395,1.2052,0.0071,0,0,0,0.0036,1.8353,0.5852,0.0539,0,0.0449,0.0073,0.3227,0,7.0434,0.1625,0,0.0909,1.9096,0.014,0.0429,0.0208,0.1444,0.4779,0,0,1.0068,0.4014,0.0188,0,0.0111,0.4624,0.0485,0.0319,0.0068,0.1108,0.1534,0.2138,0,1.0039
Alabama 1st,AL-01,AL,September 11 attacks,Medicaid,Health care,Mental health,Medicare,Property taxes,Immigration,Abortion,Minimum wage,Pensions,0.4756,2.7904,0.1723,0.1654,0,0.1608,0.0056,0.2164,0,0.0682,0.1381,0.0109,0.0895,0.4457,0.0726,0,0.1852,0.9649,0.362,0.2103,0.1482,0.1194,0.0053,0,0,0,0.1151,0.1054,0.0055,0,0.0219,0.4951,0.0616,0.2491,0,0.1486,0.779,0,0.23,0.0411,0.1137,0.0702,0,0.2134,0.042,0.1651,0.0366,0.7183,6.4871,0.0839,3.0572,0.0747,0.7212,0.0995,0.3238,0.9621,0,0.0156,0.0056,0,0.3553,0.0052,0.0051,0.0907,0.1824,0,6.9554,3.5268,4.0482,0.0055,0.0208,0.1845,2.2458,0.0969,0.1711,0.077,0.9573,0.1019,0.0107,0,0,0.2797,1.0505,0.0107,0,0.1515,0,0.0103,1.8792,0.3897,0.0432,0.0052,0,0.0105,0.0213,3.3936,0.2878,0.0053,0,0.0051,0.0107,0.3503,0.0662,10.0603,0.042,0,0.0313,1.6797,0.021,0.1045,0.0208,0.0694,0.6105,0,0.0054,0.4673,0.955,0.0225,0,0.0442,1.4886,0.0108,0.4296,0.0051,0.0052,0.0259,0.0843,0,0.2854
Alabama 2nd,AL-02,AL,September 11 attacks,Health care,Immigration,Medicaid,Medicare,Tariff,National Security Agency,Mental health,Social security,Abortion,0.1097,2.2401,0.1105,0,0.1055,0.6713,0,0.1131,0,0,0.437,0,0,1.4794,0.1133,0,0.1088,1.7689,0.9084,0,0.1155,0,0,0,0.1041,0,0.1093,0.1058,0,0,0,0,0.1117,0.3237,0,0.4264,0.4261,0,0.6367,0.1081,0,0.3249,0,0.2143,0.1063,0.321,0.1045,0.218,8.6834,0.5265,8.5184,0.321,0.7333,0.1052,0.1094,0.9633,0,0,0,0,0.6303,0,0.1029,0.4276,0.9664,0,6.5562,4.6669,2.9879,0,0,0.4313,1.4762,0.2155,0.31,0.1101,3.1266,0.4312,0.2157,0,0,0.8279,0.9656,0,0,0,0,0,0.2084,0.4174,0,0,0,0,0,1.9847,0.104,0,0,0,0,0.2191,0,10.7515,0.4239,0,0.2097,2.7194,0,0.3127,0,0.108,3.3326,0,0,1.0458,0.7373,0,0,0,1.1572,0,0,0.2062,0.1059,1.9856,0.1054,0,0.1036
Alabama 3rd,AL-03,AL,September 11 attacks,Medicaid,Health care,Mental health,Medicare,National Security Agency,Social security,Confederate states,Immigration,Minimum wage,0.6079,1.6256,0,0.3669,0,0.9958,0,0,0,0.2512,0,0,0,0.8407,0,0,0,0.8556,2.3984,0,0,0,0,0,0,0,0.2429,0.588,0.4946,0,0,0,0,0,0,0.4739,0.2383,0,0.6132,0,0.6128,0,0,0.2382,0,0,0,0.2492,5.7518,0,2.1921,0.2345,1.0377,1.1654,0.7439,1.5359,0,0,0,0,1.2103,0,0,0,0,0,6.8506,3.8083,4.9226,0,0.3493,0.3653,1.9911,0,0,0,3.6008,0,0,0,0,1.2697,0.7121,0,0,1.2959,0,0,0.9284,0,0,0,0,0,0,0.9305,1.2829,0,0,0,0.3587,0.2435,0.2472,11.8635,0,0,0,2.6795,0,0,0,0,0.2292,0,0,0,0.7013,0,0,0,0.5853,0,0,0,0.2454,0,0,0,0
Alabama 4th,AL-04,AL,Medicaid,Health care,September 11 attacks,Medicare,Social security,Immigration,2003 Invasion of Iraq,Mental health,Terrorism,Property taxes,2.5495,1.9404,0,0,0,0.2743,0.0345,0,0,0.1733,0.2017,0,0,0.6135,0.0681,0.0327,0.2643,0.6455,0.8915,0.1296,0.0346,0,0,0,0,0,0.0658,0.1273,0,0,0,0.0627,0.1354,0.0997,0,0.3269,0.5513,0,0.1795,0.0332,0,0,0,0.3547,0,0.2592,0,0.164,7.7612,0.2248,2.873,0,1.3015,0.0637,0.4706,1.0419,0,0,0,0,0.4169,0,0,0.3294,0.1613,0,15.9278,4.2429,2.5489,0,0.0321,0.0658,0.9707,0.1641,0.1256,0,0.9546,0.0664,0,0,0,0.4116,0.9199,0.0331,0,0.2635,0,0.0615,0.5702,0.1266,0,0,0,0,0,2.3767,0.1905,0,0,0,0,0.0995,0,6.9234,0.0963,0,0.1275,4.0956,0,0,0,0.0621,2.3712,0,0,2.4578,1.3853,0,0,0,0.2248,0,0,0,0,0,0.1909,0,0.1905
Alabama 5th,AL-05,AL,Health care,Medicare,September 11 attacks,Social security,Medicaid,Pensions,Property taxes,Minimum wage,Nuclear power,Mental health,1.13,2.3745,0,0,0,0,0,0,0,1.1642,0,0,0,2.1775,2.3347,0,0,2.3046,1.1692,0,0,0,0,0,0,0,0,1.0899,0,0,0,0,0,0,0,1.1223,0,1.137,0,0,0,0,0,0,0,3.3083,0,0,10.6557,1.0986,0,0,3.2048,0,1.1659,1.1071,0,0,0,0,1.0823,0,0,1.0784,0,0,6.4435,7.4676,4.2833,1.1388,0,2.2557,4.3934,1.1109,0,0,0,0,0,0,0,4.3048,1.0994,0,0,1.1299,0,0,5.3721,0,0,0,0,0,0,5.356,0,0,0,0,0,0,0,6.635,0,0,1.089,6.4881,0,1.0761,1.0789,0,2.163,0,0,0,0,0,0,0,0,1.1291,0,0,0,0,0,0,2.1391
Alabama 6th,AL-06,AL,September 11 attacks,Health care,Medicaid,Social security,Immigration,Medicare,Islam,Mental health,Abortion,Property taxes,0.5468,2.9412,0.2031,0.0606,0,0.1964,0,0.1795,0,0.1783,0.1478,0,0.2708,0.5425,0.1889,0.0187,0.3109,0.7619,0.5055,0.3143,0.2074,0,0,0.0443,0,0,0.126,0.2223,0.0184,0,0.1033,0.0224,0.0863,0.0577,0.0424,0.5841,2.3527,0.0443,0.1409,0,0.1407,0.019,0,0.1235,0.0183,0.2904,0.1191,0.2558,8.2514,0.0789,4.523,0.1717,1.0712,0.0422,0.1651,3.4601,0,0,0.0189,0,0.2054,0,0,0.1424,0.0374,0,6.8173,4.2232,3.4232,0,0.0183,0.1391,2.0082,0.1437,0.2106,0.0387,0.164,0.2084,0.182,0,0,0.7832,0.7497,0.0433,0,1.6344,0,0,0.7104,0.1779,0.058,0,0,0,0,2.909,0.3101,0.0396,0,0,0.0198,0.6451,0.1266,17.1928,1.5148,0,0.0788,4.8907,0,0.0601,0.6163,0.0805,0.415,0,0.0593,0.7712,0.39,0,0,0.0385,0.4921,0,0.0432,0.0982,0,0.0785,0.0977,0,0.3502
Alabama 7th,AL-07,AL,Health care,Medicaid,September 11 attacks,Mental health,Medicare,Abortion,Immigration,Social security,Property taxes,Minimum wage,0.0105,3.5202,0.0783,0.2846,0.0081,0.4644,0.0022,0.1343,0.0282,0.0643,0.1902,0.0411,0.2203,1.1971,0.2897,0.0501,0.547,1.0355,1.1338,0.1676,0.2176,0,0.0216,0.021,0,0.0042,0.1202,0.2825,0.0255,0.0021,0.0733,0.0513,0.0781,0.2485,0.1058,0.7655,0.65,0.0303,0.4776,0.1402,0.1908,0.0514,0,0.2718,0.1098,0.3817,0.1945,0.2992,11.0006,0.1338,3.0406,0.104,1.438,0.1037,0.3807,1.3195,0,0.007,0.0249,0,0.4839,0.0114,0.004,0.2913,0.4836,0,7.8413,3.859,4.936,0.0632,0.072,0.3181,1.7331,0.538,0.2037,0.2317,0.6874,0.4163,0.0779,0,0,0.7583,1.2133,0.0136,0.0584,0.5208,0.0384,0.0755,1.1294,0.4974,0.0698,0.0289,0.0086,0.0063,0.0427,1.9087,0.536,0.0193,0,0.0061,0.0339,0.7425,0.03,7.6673,0.1791,0,0.2034,2.1269,0.0229,0.0866,0.1302,0.0651,0.9207,0,0.0208,1.1993,0.5561,0.0335,0,0.036,1.0414,0.0188,0.056,0.1118,0.0228,0.1549,0.1757,0.0112,0.4524
Arkansas 1st,AR-01,AR,September 11 attacks,Health care,Mental health,Medicaid,Medicare,Immigration,Abortion,Property taxes,Islam,Obamacare,0.1413,2.722,0,0.1418,0,1.4431,0,0.1458,0,0.4388,0,0,0.2839,0.4123,1.3067,0,0.421,1.7271,1.1708,0.1424,0,0,0.138,0,0,0,0.1404,0.5456,0,0,0,0,0,0.283,0,0.1374,0.6878,0,0.711,0,0.1421,0,0,0.1382,0.137,0.138,0,0.1379,6.0441,0.4063,3.3463,0,1.0801,0,0.4297,2.4763,0,0,0.1393,0,0.6771,0,0,0.4073,0.5567,0,5.3688,3.8907,5.7309,0,0,0.4126,2.0373,0.834,0.2666,0,0.1345,0.1386,0,0,0,1.0732,2.3535,0,0,1.4013,0,0.1337,0.9414,0.8006,0,0,0,0,0,2.5532,0.1341,0,0,0,0,0.5614,0,13.6979,0,0,0.4058,2.1524,0.1365,0,0,0.2786,1.5254,0,0,0.8076,1.49,0,0,0.2831,0.4071,0.1411,0,0.133,0,0,0.135,0.1366,0.1337
Arkansas 2nd,AR-02,AR,September 11 attacks,Health care,Medicaid,Mental health,Immigration,Medicare,Islam,Abortion,Property taxes,Social security,0.1064,3.1314,0.0786,0.5846,0,1.4408,0,0.1365,0.0257,0.1343,0.1035,0.1057,0.2646,0.8677,0.8697,0,0.257,1.2622,0.6785,0.2128,0.2452,0,0,0.0497,0,0,0.106,0.0752,0,0,0.1074,0.0265,0.0264,0.1845,0.0267,1.3432,0.4572,0.0261,0.5123,0.0512,0.4789,0.0257,0,1.1124,0.1007,0.3019,0.178,0.2558,9.0459,0.0249,3.9832,0.1565,1.6002,0.0771,0.3185,3.1925,0,0,0,0,0.3833,0,0,0.1264,0.182,0,7.1202,3.5122,5.2917,0.0524,0.1016,0.2926,2.0289,0,0.3472,0.0515,0.1763,0.2854,0,0,0,1.1729,1.2706,0.0256,0.1825,0.2894,0,0,0.854,0.4195,0.1296,0,0,0,0.0242,2.5881,0.2983,0.05,0,0,0.0509,0.4461,0,9.5348,0.256,0,0.0248,2.4286,0.0251,0.0765,0.0744,0.2096,0.844,0,0,0.6004,0.4825,0.0539,0,0,1.1324,0.1062,0.0766,0.0244,0.0753,1.0714,0.1022,0,0.5412
