District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Alaska At-Large,AK-AL,AK,Health care,Medicaid,Medicare,Mental health,Social security,Abortion,Property taxes,Minimum wage,Immigration,Climate change,0.4773,12.8821,1.3341,0.8889,0,1.3132,0.0702,1.108,0.1185,0.156,0.3021,0.0454,0.6533,3.6229,3.7674,0.5737,6.3183,3.3875,1.6276,0.5158,0.3236,0.088,0.4936,0,0,0,1.3032,2.5686,0.1142,0,0.1915,0.0915,0.7654,0.3379,0.4831,2.5503,1.9334,0,0.6408,0.1144,1.6158,0.1354,0,1.197,0.7352,4.7094,0.2972,0.2718,27.3028,0.3109,10.0935,0.1348,4.3188,0.8668,1.1655,6.2823,0.0459,0,0,0,1.7753,0.0224,0,1.2025,3.267,0,21.8219,20.9619,18.793,0.0449,0.1356,1.151,10.4699,0.6382,2.7409,0.6619,2.2916,1.5497,1.003,0,0,2.9073,1.8613,0.0439,0.1637,0.9997,0.1333,0.0704,2.5983,5.0207,0.135,0.0678,0.0222,0,0.0677,12.6488,2.2396,0.0443,0,0.0894,0.0665,0.9981,0.0222,4.8959,0.6079,0,0.9062,13.2104,0.5393,1.046,0.1345,0.0237,1.7966,0,0.0683,3.7815,2.893,0.4864,0,0,4.6735,0.0904,0.3354,0.2041,0.5369,0.6701,0.4047,0,5.7224
Alabama 1st,AL-01,AL,Medicaid,Health care,Medicare,Property taxes,Mental health,Social security,Abortion,Immigration,Islam,Income tax,0.0558,11.1648,0.5682,0.832,0.1731,1.6644,0,1.1802,0.0539,0.1636,0.1714,0.1676,1.2176,3.4944,1.1609,0,2.8509,2.7017,2.832,0.4178,0.2873,0,0,0.0548,0,0.114,0.2968,1.2115,0.2258,0,0.2963,0.0557,0.2368,0.3342,0.28,2.2986,0.8757,0,1.0063,0.113,0.1703,0.0556,0,1.2789,0.6788,1.7909,0.7339,0.5045,30.2226,1.1514,8.0243,0.1667,5.4596,0.3288,1.1818,6.1677,0,0,0,0,1.3812,0,0,0.9627,0.8273,0,33.4693,20.2726,14.4584,0,0.3348,0.7239,5.3175,0.5584,0.8265,0.2796,0.8779,0.713,0.2741,0,0,1.3783,3.2319,0.1625,0.0582,1.5152,0,0.0579,3.5631,2.4832,0.1122,0,0,0,0.1656,15.822,2.2848,0.1655,0,0,0,1.335,0.1141,3.5141,0.278,0,0.9569,11.4718,0,0.1096,0.2217,0.2867,1.9201,0,0.1128,2.7307,2.4814,0.2173,0,0.0556,3.6543,0.0558,0.441,0.0551,0.059,0.3287,0.8824,0,1.4075
Alabama 2nd,AL-02,AL,Health care,Medicaid,Mental health,Nuclear power,Social security,September 11 attacks,Abortion,Medicare,Immigration,Obamacare,3.8656,8.897,0.2948,0.2884,0,0.5378,0,0.8197,0.2865,0.2668,0,0,0.2863,2.1509,3.5146,0,5.5419,4.9978,0.2842,0.5987,0.5616,0,0,0,0,0,0.2903,0,0.276,0,0,0.8301,0,0,0,5.6401,2.943,0,0.2752,0,1.9421,0.5431,0,0,0.2744,0.5473,0.2746,0.5482,26.9165,0.2676,7.0616,0.2715,1.8768,0.5408,5.0968,5.5108,0,0,0.27,0,0.2679,0,0,0.2809,0,0,18.4349,8.7522,14.38,0,0,0.8151,5.4922,0,0.5861,0,0.5355,0,0.5511,0,0,10.6287,5.7375,0,0,1.3693,0,0,0,0.5393,0,0,0,0.2677,0,4.4719,1.3582,0,0,0,0,0,0,8.9156,0.5457,0,0.2751,10.2441,0,0.2679,0,0,0.2665,0,0,1.3376,1.6171,0.2747,0,0,2.1302,0,0.539,0,0,0.8052,0,0,1.6577
Alabama 3rd,AL-03,AL,Medicaid,Medicare,Health care,Mental health,Abortion,Immigration,Social security,Property taxes,Income tax,Islam,1.7142,11.3231,0.6221,0.3858,0,2.0963,0.2465,0.247,0,0.1248,0.3748,0,0.2587,3.5221,0.5081,0,2.4725,3.2175,1.0129,0.1289,0.2482,0,0,0,0,0.1233,0.1283,1.6935,0.122,0,0,0,0,0.6073,0.2499,1.849,4.5921,0,2.1734,1.3192,2.8006,1.1519,0,0.97,0.1222,2.1556,0,1.1846,20.0591,0.2417,9.5613,0.12,8.1281,1.8621,1.2383,6.9491,0,0,0,0.2428,2.242,0,0,0.7502,2.6967,0,28.8649,24.9685,17.1597,0,0,1.3252,3.786,0.1194,1.5295,0.1214,2.3592,1.3984,1.8811,0.1222,0,1.9284,2.4637,0,0,0.7315,0,0.7618,2.073,2.8045,0,0,1.1547,0,0,8.7509,1.8154,0.1192,0,0,0,1.5418,0.3753,6.0285,0.9807,0,0.7455,9.0223,0,0.2427,0.12,0,2.467,0,0.2423,2.3289,2.8526,0,0,0,1.7812,0.1178,0.1188,0.2827,0.1185,0.2392,0,0,0.2486
Alabama 4th,AL-04,AL,Abortion,Health care,Medicaid,Medicare,Social security,Mental health,Immigration,Minimum wage,Confederate states,Legality of cannabis,4.0973,42.4922,0,1.3486,0,2.0808,0,0,0,3.5893,0,0,0,8.8079,0,0,2.9048,1.7773,9.2743,0,0,0,0,0,0,0,0,0.4157,0,0,0,0,0,0.8435,0,2.5537,2.0705,2.0898,4.5616,0.4274,0,0,0,0.8361,0.8561,1.2716,0.427,2.123,39.637,0,11.1314,0.8403,2.087,4.0155,0.4261,2.0787,0,0,0,0,8.9594,0.4177,0,0,4.4656,0,28.973,23.9468,19.3335,0,0,0,10.5205,0.4241,1.2907,7.4016,0,0,2.4873,0,0,2.1136,1.2386,0,0,1.2713,0,0.4381,1.6556,0.4176,0,0,0,0,2.5297,6.6431,0,0,0,0,0,2.52,0,2.071,0.4225,0,1.2774,22.4486,0,0,0,3.8909,0.8248,0,0,1.6625,1.2517,0,0,0,0.4123,0,0,0,0.8302,0,0,3.6522,2.1362
Alabama 5th,AL-05,AL,Medicaid,Medicare,Health care,Mental health,Social security,Immigration,Abortion,September 11 attacks,Property taxes,Obamacare,1.6025,10.7354,0.5873,0.6955,0.0092,1.4968,0.0784,0.9398,0.091,0.0526,0.502,1.2096,0.4713,2.819,0.3409,0.0376,5.9901,4.0152,4.2181,0.6071,0.6952,0.0087,0.1105,0.0178,0.0091,0.0092,0.2624,1.6315,0.0726,0,0.3345,0.1812,0.4167,0.1834,0.0703,2.5691,1.3175,0.009,3.1185,0.3007,1.0231,0.0357,0,2.4133,0.9447,4.4248,0.2153,0.9026,18.4082,0.3267,11.2129,0.5586,2.9333,0.3185,1.7574,3.4396,0,0.0091,0.0266,0,5.0566,0,0,0.3416,1.0086,0,20.5975,18.616,17.8786,0.077,0.076,0.4407,3.0096,0.2444,1.611,0.3422,3.0747,2.323,0.3024,0.0478,0,4.7089,7.3593,0.0348,0.0363,0.597,0.0529,1.4081,2.5484,1.048,0.0771,0.0608,0,0.0088,0.0783,7.3952,1.2932,0.0681,0,0.0089,0,1.1307,0.0183,10.0376,1.4894,0,0.5463,13.553,0.0184,0.1914,0.0803,0.1241,1.9109,0,0.118,2.229,2.8375,0.2982,0,0,6.1046,0.0359,0.2171,0.1925,0.0088,0.143,5.8074,0,0.4668
Alabama 6th,AL-06,AL,Health care,Mental health,Medicaid,Immigration,Medicare,Property taxes,Abortion,Social security,First amendment,Obamacare,0.5922,9.8663,2.4681,0.626,0,1.2276,0,1.7779,0.6215,0.579,0,0,1.8304,4.1367,0.6165,0,4.0724,1.2351,2.443,0,1.8278,0,0,0,0,0,0,3.5117,1.1974,0,0.6267,0,0,0.591,0.5998,2.387,8.1259,0,2.3706,1.1976,3.6004,1.1862,0,0.5912,1.1995,1.7818,0,0.5953,26.2671,1.7534,17.8996,0,3.5089,0,1.194,3.5019,0,0,0,0.5753,1.7426,0,0,1.2185,1.7582,0,20.4255,15.693,24.0568,0,0,0,4.0829,1.1892,1.2717,0,2.908,1.1612,0,0,0,2.9341,6.3844,0,0,1.1844,0,0,3.555,1.1746,0,0,0,0,0,9.9052,1.1782,0,0,0,0,1.1933,0,4.6437,0.5919,0,0.5965,8.7669,0,0,0,0,1.747,0,0.5982,0,1.1696,0,0,0,3.4703,0,0,0,0,0,0.623,0,0
Alabama 7th,AL-07,AL,Health care,Mental health,Abortion,Medicaid,Minimum wage,Medicare,Immigration,Social security,United Nations,Nuclear power,0.075,17.999,1.1144,0.9261,0.1505,2.0094,0.0749,2.7362,0,0.6486,1.0398,0.5083,0.6035,3.443,1.5,0,5.0461,2.8773,4.5598,0.7735,0.3713,0,0,0.071,0,0,0.4556,2.5704,0,0,0.6911,0.7276,0.3046,1.0116,0.2918,4.6535,2.2701,0.2149,2.5508,1.9211,0.9573,0.3604,0,1.3696,0.8069,2.9733,1.6825,1.383,36.9932,0.355,10.5365,0.7174,4.3597,0.7832,1.3859,4.3507,0.0734,0.3659,0,0,3.2241,0.0748,0.2818,1.9064,1.286,0,15.2015,12.0118,23.1138,0.0721,0.2895,0.793,12.7369,1.1627,1.3788,1.2369,2.4171,0.9236,0.5001,0,0,6.518,5.2475,0,0.3774,1.0895,0.2829,0.5949,2.2345,2.7933,0.1423,0.0726,0,0.2841,0.7887,4.6342,1.7347,0.1426,0.0721,0.0717,0.2134,2.2387,0.148,5.6231,0.5791,0,0.7299,7.4326,0.1471,0.5672,0.2881,0.3719,5.8983,0,0.2196,4.5308,2.1649,1.2698,0,0,6.8018,0,1.144,0.1427,0.1422,0.7811,0.4365,0,1.1677
Arkansas 1st,AR-01,AR,Medicare,Property taxes,Income tax,2003 Invasion of Iraq,Health care,Mental health,Medicaid,Immigration,Lobbying,Islam,30.455,5.0075,0.5395,0.8758,0,0.9645,0,0.4625,0,0.1472,0.3087,0,0.2369,2.3192,0.3919,0,2.515,0.9423,1.7173,0.4875,0.3854,0,0.1504,0,0.0761,0,0,0.5932,0.1523,0,0.1601,0.1521,0.3196,0.6786,0,1.3635,1.9935,0.0745,1.062,1.8405,0.1531,0.2244,0,1.1259,0.9142,2.7859,0.5306,0.7565,23.1136,0.15,6.5478,0.5244,33.3862,0.1486,0.4548,5.4791,0,0,0.0744,0,1.2709,0.0744,0,5.5407,0.3712,0,16.2686,100,17.5675,0,0.1504,0.1498,4.5811,0.7489,0.4723,0.0757,0.2213,0.5182,0.371,0,0,0.9699,2.7977,0,0.0784,0.5282,0.5171,0.156,1.049,0.6699,0.2266,0,0.0737,0.0738,0.0751,51.6297,0.5988,0.2219,0,0,0,0.3739,0,4.2874,0.4511,0,0.2275,4.6022,0,0.2211,0.1496,0.1506,2.8745,0,0,2.1361,1.7108,0.0732,0,0,1.9893,0.2255,0.3718,0,0,0.5179,0.2265,0,0.6068
Arkansas 2nd,AR-02,AR,Property taxes,Health care,Mental health,Medicaid,Medicare,Immigration,Minimum wage,Social security,Abortion,Islam,0.1917,8.4402,0.5604,0.3934,0.3786,1.9978,0,0,0.1935,0.1801,0.7547,0.1861,1.3526,4.0223,1.3434,0,5.2525,7.5857,2.3044,0,0.5704,0,0,0,0,0,1.7523,3.0978,0.3728,0,0.7803,0,0.5773,0.7392,0.1821,3.5138,5.7768,0,0.9317,1.8686,0.3757,0.5517,0,1.2909,2.2396,3.1433,0.9344,0.9282,29.3512,0.3685,15.8827,1.1011,6.3852,0.1823,2.051,7.8287,0,0,0,0,1.9945,0,0,1.8906,0.1794,0,24.0299,22.1034,26.0662,0,0.1846,0.736,10.8738,2.0235,0.9919,0.3712,0.9079,1.6351,1.0935,0,0,4.9296,4.7045,0,0.3849,1.673,0,0.5747,3.3157,3.1049,0,0,0,0,0.553,54.1611,0.7365,0.3648,0,0,0.1815,2.206,0.1889,4.5335,0.5539,0,1.117,8.9322,0.183,0,0.3656,0.185,3.4271,0,0.1848,5.9563,2.562,0,0,0,6.3565,0.1845,1.2788,0.182,0,0.1816,0.7272,0,0.931
