District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Alaska At-Large,AK-AL,AK,September 11 attacks,Medicaid,Health care,Mental health,Medicare,Immigration,Minimum wage,Planned Parenthood,Property taxes,Abortion,0.43,1.42,0.03,0.05,0,0.22,0.01,0.05,0.02,0.01,0.03,0.02,0.11,0.27,0.2,0.04,0.78,0.72,0.55,0.14,0.02,0,0.01,0.01,0,0.01,0.07,0.1,0.04,0,0.02,0.01,0.02,0.12,0.25,0.2,0.16,0.01,0.25,0,0.03,0.03,0,0.54,0.05,0.44,0.05,0.06,5.43,0.06,1.95,0.02,0.86,0.08,0.2,0.65,0,0,0,0,0.4,0,0.01,0.72,0.14,0,5.99,2.78,3.62,0.01,0.03,0.13,1.81,0.05,0.24,0.26,0.12,0.42,0.27,0,0,0.29,0.57,0,0.23,0.55,0.21,0.03,0.98,1.52,0.02,0,0,0,0,1.48,0.66,0.01,0.01,0.03,0.01,0.11,0.22,28.37,0.1,0,0.08,1.4,0,0.03,0.01,0.03,0.62,0,0.01,0.46,0.68,0.03,0,0,0.55,0.01,0,0.01,0.04,0.09,0.26,0.01,0.43
Alabama 1st,AL-01,AL,September 11 attacks,Medicaid,Health care,Medicare,Property taxes,Immigration,Mental health,Abortion,Social security,Common core,0.02,2.13,0.02,0.14,0,0.38,0.06,0.07,0,0.11,0.01,0,0.14,0.78,0.24,0.02,0.19,1.25,0.69,0.08,0.17,0,0.11,0.06,0,0,0.14,0.21,0.01,0,0.02,0.06,0.06,0.36,0.06,0.36,0.45,0.02,0.31,0.15,0.07,0.03,0,0.19,0.06,0.29,0.12,0.07,7.03,0.06,2.31,0.21,0.78,0.1,0.42,1.06,0,0.01,0.01,0,0.39,0,0.05,0.12,0.07,0,8.12,4.32,2.27,0.01,0.03,0.17,0.94,0.11,0.15,0.03,0.27,0.19,0.07,0.01,0,0.69,0.72,0.03,0.03,0.24,0.02,0.06,0.84,0.34,0.02,0.01,0,0.01,0.05,2.92,0.19,0.02,0,0,0.01,0.4,0.08,15.88,0.13,0,0.12,1.84,0.01,0.03,0.07,0.06,0.57,0,0.03,0.83,0.48,0.01,0,0.01,0.42,0.04,0.01,0.03,0.05,0.16,0.11,0,0.26
Alabama 2nd,AL-02,AL,September 11 attacks,Medicaid,Health care,Mental health,Medicare,Abortion,Immigration,Climate change,First amendment,Torture,0.77,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,1.64,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,1.57,0,0,0,1.51,0,0,8.96,0,3.86,0,0,0.76,0.82,0,0,0,0,0,0,0,0,0,0,0,10.26,6.12,7.57,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.76,0,71.98,0,0,0,1.56,0,0,0,0,0,0,0,2.31,2.32,0,0,0,0,0,0,0,0.77,0,0,0,0
Alabama 3rd,AL-03,AL,September 11 attacks,Health care,Mental health,Abortion,Immigration,Medicaid,Medicare,Tariff,Capital punishment,Confederate states,0.1,2.44,0.1,0.55,0,0.4,0.16,0.1,0.07,0.12,0,0.03,0.13,1.2,0.1,0,0.97,0.48,1.18,0.36,0.1,0,0.08,0,0,0,0.15,0.1,0,0,0.1,0.21,0,0.27,0.02,0.79,0.41,0,0.4,0.22,0.12,0.05,0,0.59,0.07,0.99,0.12,0.31,4.09,0.05,2.28,0.12,0.96,0.24,0.28,1.06,0.02,0,0,0,0.55,0,0,0.35,0.27,0,2.13,1.63,2.69,0,0.07,0.23,1.04,0.33,0.33,0.15,0.37,0.16,0.41,0,0,1.09,1.09,0,0,0.19,0.02,0.07,0.33,0.33,0.07,0,0,0,0.02,0.83,0.62,0.02,0,0.02,0.02,0.33,0.07,16.15,0.12,0,0.12,0.74,0,0.02,0.12,0.21,1.25,0,0,0.79,0.45,0.12,0,0.07,0.84,0.02,0.05,0.02,0.1,0.09,0.23,0,0.61
Alabama 4th,AL-04,AL,September 11 attacks,Medicaid,Health care,Medicare,Mental health,Immigration,Social security,National Security Agency,Abortion,Common core,0.64,1.74,0.09,0.09,0,0,0,0,0,0,0.18,0,0.18,0.77,0,0,0.47,1.64,0.67,0,0.09,0,0,0,0,0,0,0,0,0,0.41,0,0,0.09,0.08,0.09,0.17,0,0.09,0,0.09,0.4,0,0.4,0.09,1.4,0,0.63,4.45,0,2.81,0,0.25,0.85,0.27,0.34,0,0,0,0,0.09,0,0,0.39,0,0,6.69,4.4,3.76,0,0,0.47,1.2,0.39,0.08,0.4,1.82,0.08,0,0,0,0.97,0,0,0,0.63,0,0,0.48,0.08,0,0,0,0,0,0.9,0,0,0,0,0,0.38,0.39,19.58,0,0,0.08,2.41,0.09,0,0,0.08,0.25,0,0,1.61,0.64,0,0,0,0.48,0,0,0,0,0.08,0,0,0.74
Alabama 5th,AL-05,AL,September 11 attacks,Medicaid,Health care,Medicare,Mental health,Nuclear power,Social security,Immigration,Minimum wage,Abortion,0.11,1.41,0.02,0.27,0,0.44,0.11,0.03,0.01,0.21,0.03,0,0.21,0.71,0.09,0.03,0.57,0.96,0.9,0.18,0.11,0.01,0.01,0.01,0,0,0.09,0.3,0.04,0,0.02,0.01,0.03,0.25,0.01,0.4,0.3,0,0.74,0.02,0.14,0,0,0.3,0.15,0.36,0.04,0.18,5,0.04,2.14,0.07,0.82,0.08,0.37,0.89,0,0,0.01,0,0.49,0,0.01,0.1,0.2,0,5.3,3.51,2.19,0,0.03,0.35,1.58,0.05,0.15,0.06,0.45,0.32,0.19,0,0,2.19,0.54,0,0.03,0.33,0.03,0.06,0.57,0.11,0.12,0,0,0,0,1.06,0.36,0.02,0,0,0.01,0.12,0.02,19.03,0.07,0,0.06,2.15,0.01,0.08,0.12,0.05,0.91,0,0,0.87,0.41,0.01,0,0,0.58,0.02,0.03,0.04,0.03,0.11,0.11,0,0.09
Alabama 6th,AL-06,AL,September 11 attacks,Health care,Immigration,Medicaid,Medicare,Property taxes,Mental health,Social security,Abortion,Pensions,0.06,1.8,0.05,0.05,0,0.51,0.01,0.22,0,0.27,0.01,0,0.34,0.54,0.13,0.01,0.37,0.54,0.65,0.06,0.49,0,0,0,0,0,0.05,0.2,0,0,0.08,0.05,0.07,0.07,0,0.86,0.32,0.01,0.33,0.03,0.12,0.07,0,0.23,0.2,0.33,0.13,0.23,5.25,0.07,4.65,0.41,0.97,0.05,0.26,0.68,0,0.01,0,0,0.29,0,0,0.06,0.13,0,3.93,3.53,2.27,0,0,0.09,0.85,0.13,0.36,0.03,0.6,0.18,0.08,0,0,0.64,0.56,0.01,0.01,0.4,0,0.17,1.15,0.29,0.06,0,0,0,0.01,2.31,0.32,0.02,0,0,0.07,0.2,0.05,19.95,0.24,0,0.08,2.13,0.01,0.02,0.03,0.09,0.53,0,0,0.89,0.6,0.01,0,0,0.49,0,0.06,0.07,0.05,0.06,0.31,0,0.23
Alabama 7th,AL-07,AL,September 11 attacks,First amendment,Medicaid,Health care,Capital punishment,Freedom of religion,Property taxes,Medicare,Minimum wage,Mental health,1.57,1.25,0,0.05,0,0.25,1.08,0.01,0,0.02,0.04,0.01,0.1,2.77,0.11,0.01,0.19,0.42,0.47,0.08,0.07,0,0,0.02,0,0.01,0.33,0.06,0.01,0,0.02,0.02,0.04,0.35,0.01,0.23,5.63,0,0.15,0.04,2.22,0.02,0,0.65,0.03,0.24,0.04,0.13,4.29,0.04,1.27,0.3,0.46,0.61,1.55,0.51,0,0.02,0,0,0.13,0,0,0.11,0.18,0,4.88,1.83,1.6,0.01,0.03,0.08,1.72,0.09,0.12,0.15,1.06,0.26,0.06,0,0,0.82,0.46,0.01,0.01,0.16,0.03,0.03,0.89,0.12,0.03,0,0,0,0,1.95,0.42,0.02,0,0.01,0,0.11,0.01,20.59,0.09,0,0.35,1.5,0.01,0.04,0.04,0.04,0.36,0,0.02,0.83,0.44,0.06,0,0,0.37,0.01,0.02,0.02,0.02,0.04,1.09,0,0.13
Arkansas 1st,AR-01,AR,September 11 attacks,Medicaid,Health care,Medicare,Social security,Terrorism,Minimum wage,Abortion,Common core,Mental health,1.07,2.79,0,0.57,0,0.57,0,0,0,0,0,0,0.58,0,0,0,0,2.29,1.1,0,0.56,0,0,0,0,0.56,0,1.7,0,0,0,0,0.57,0,0,0,0,0,0.57,0,1.13,0,0,0,0,0,0,0,5.7,0.54,1.59,0,1.05,0.53,0,0.54,0,0,0,0,0,0,0,0,0,0,7.63,5.3,2.11,0,0,0,3.67,0,0.53,0,0.52,0.53,0,0,0,0.53,0,0,0,0,0,0,0.54,0,0,0,0,0,0,1.11,0.53,0,0,0,0,0,0,26.65,0,0,0.53,3.78,0,0,0.54,0,0.53,0,0,3.76,0,0,0,0,0,0,0,0,0.54,0,0,0,0
Arkansas 2nd,AR-02,AR,September 11 attacks,Health care,Medicaid,Medicare,Mental health,Immigration,Property taxes,Social security,Abortion,Minimum wage,0.03,1.57,0.02,0.13,0.02,0.33,0.02,0.05,0.02,0.07,0.14,0.02,0.16,0.6,0.78,0.02,0.18,0.72,0.72,0.21,0.37,0.01,0.06,0.04,0.01,0,0.1,0.24,0.02,0,0.01,0.02,0.05,0.15,0.01,0.53,0.59,0,0.28,0.03,0.11,0.04,0,0.24,0.09,0.25,0.05,0.21,6.46,0.15,2.56,0.14,0.95,0.23,0.33,0.98,0.01,0.02,0.01,0,0.33,0.02,0.01,0.22,0.07,0,5.3,3.72,3.4,0.01,0.01,0.14,1.34,0.15,0.3,0.06,0.17,0.15,0.09,0.01,0,0.69,0.9,0.02,0.01,0.35,0.02,0.09,0.89,0.6,0.05,0,0.01,0,0.04,1.98,0.22,0.01,0,0.06,0.01,0.32,0.05,20.4,0.13,0,0.13,1.94,0.03,0.05,0.11,0.04,0.81,0,0.03,1.02,0.34,0.07,0,0.01,0.69,0.02,0.09,0.1,0.04,0.25,0.08,0,0.27
Arkansas 3rd,AR-03,AR,September 11 attacks,Health care,Medicaid,Mental health,Immigration,Medicare,Islam,Terrorism,Income tax,Property taxes,0.19,1.61,0.02,0.14,0.01,0.23,0.01,0.05,0,0.07,0.04,0.03,0.16,0.89,0.25,0.01,0.57,0.69,0.47,0.36,0.47,0.01,0.02,0.02,0,0.02,0.2,0.2,0.01,0,0.04,0.05,0.04,0.14,0.32,0.51,0.44,0,0.48,0.09,0.45,0.04,0,0.96,0.03,0.42,0.07,0.14,4.47,0.11,3.13,0.08,1.72,0.22,0.26,1.87,0,0.01,0.01,0,0.12,0.01,0.03,0.33,0.07,0,3.95,2.85,3.4,0.02,0.05,0.13,1.46,0.48,0.6,0.05,0.09,0.19,0.06,0,0,0.81,0.66,0.01,0.04,0.36,0.01,0.02,0.98,0.32,0.01,0.01,0,0,0.03,1.64,0.34,0.02,0,0.06,0.02,0.2,0,20.38,0.1,0,0.08,1.63,0.02,0.01,0.06,0.13,0.82,0,0.01,1.8,0.52,0.13,0,0.14,0.61,0.01,0.05,0.03,0.01,0.35,0.06,0.02,0.12
