Suchinteresse nach Kernenergie in Deutschland nach Landkreis,,
13. April 2022 bis 12. April 2023,,
Landkreis_Code,Landkreis_Name,Indexwert
1001,Flensburg,56.7
1002,Kiel,53.6
1003,Lübeck,53.6
1004,Neumünster,67.1
1051,Dithmarschen,38.4
1053,Herzogtum Lauenburg,38.3
1054,Nordfriesland,34.8
1055,Ostholstein,44.2
1056,Pinneberg,51
1057,Plön,41.4
1058,Rendsburg-Eckernförde,36.5
1059,Schleswig-Flensburg,46.2
1060,Segeberg,43.4
1061,Steinburg,61.4
1062,Stormarn,29.7
2000,Hamburg,51.3
3101,Braunschweig,52.2
3102,Salzgitter,22.7
3103,Wolfsburg,38.9
3151,Gifhorn,42.4
3153,Göttingen,34.3
3154,Goslar,35.7
3155,Helmstedt,63.1
3157,Northeim,36.4
3158,Peine,46.6
3159,Wolfenbüttel,63.8
3241,Region Hannover,44.5
3251,Diepholz,44.4
3252,Hameln-Pyrmont,50
3254,Hildesheim,41.9
3255,Holzminden,37.8
3256,Nienburg (Weser),35.6
3257,Schaumburg,46.5
3351,Celle,44.7
3352,Cuxhaven,44.4
3353,Harburg,51.5
3354,Lüchow-Dannenberg,64.7
3355,Lüneburg,51
3356,Osterholz,24.5
3357,Rotenburg (Wümme),50.8
3358,Heidekreis,31.2
3359,Stade,51.1
3360,Uelzen,36.7
3361,Verden,22.1
3401,Delmenhorst,47.3
3402,Emden,34.2
3403,Oldenburg (Oldb),46.4
3404,Osnabrück,34.8
3405,Wilhelmshaven,51.9
3451,Ammerland,32.9
3452,Aurich,35.9
3453,Cloppenburg,52.7
3454,Emsland,49.4
3455,Friesland,40.1
3456,Grafschaft Bentheim,58.1
3457,Leer,32.7
3458,Oldenburg,29.1
3459,Osnabrück,28.9
3460,Vechta,35.3
3461,Wesermarsch,29.4
3462,Wittmund,28.6
4011,Bremen,41.2
4012,Bremerhaven,38.2
5111,Düsseldorf,48
5112,Duisburg,38.2
5113,Essen,49.6
5114,Krefeld,36.8
5116,Mönchengladbach,34.2
5117,Mülheim an der Ruhr,43.7
5119,Oberhausen,37.9
5120,Remscheid,39.8
5122,Solingen,47.4
5124,Wuppertal,36.4
5154,Kleve,39.2
5158,Mettmann,45.4
5162,Rhein-Kreis Neuss,45.5
5166,Viersen,33.6
5170,Wesel,39.5
5314,Bonn,56.6
5315,Köln,45.6
5316,Leverkusen,35.1
5334,Städteregion Aachen,47.7
5358,Düren,48.6
5362,Rhein-Erft-Kreis,35.4
5366,Euskirchen,30.5
5370,Heinsberg,36.6
5374,Oberbergischer Kreis,32.6
5378,Rheinisch-Bergischer Kreis,54.8
5382,Rhein-Sieg-Kreis,43.1
5512,Bottrop,34.6
5513,Gelsenkirchen,36.3
5515,Münster,56.2
5554,Borken,41.9
5558,Coesfeld,47.5
5562,Recklinghausen,35
5566,Steinfurt,36.5
5570,Warendorf,33
5711,Bielefeld,40.7
5754,Gütersloh,36.2
5758,Herford,37.1
