Search interest on the 15 political issues which rose most in search interest over the last decade in Brazil. ,,,,,,,,,,,,
"Numbers range from 0 to 100, where 100 means the highest search interest. Data from Jan 1st, 2008 to Oct 4th, 2018",,,,,,,,,,,,
English,Portuguese,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Labour reform,Reforma trabalhista,0,0,0,0,0,0,0,0,3,100,67
Fake News,Fake News,0,0,0,1,1,2,2,3,4,16,100
Feminicide,Feminicídio,0,0,0,0,0,1,3,32,20,37,100
Operation Car Wash,Operação Lava Jato,0,0,0,0,0,0,34,100,86,44,53
Militar Intervention,Intervenção Militar,0,0,0,0,0,0,3,14,8,15,100
School without Party,Escola sem partido,0,0,0,0,0,0,2,4,100,56,39
Federal Intervention,Intervenção Federal,0,0,0,0,0,0,0,0,0,13,100
Political Reform,Reforma Política,15,13,0,27,5,38,37,100,28,37,10
Net Neutrality,Neutralidade da rede,0,0,0,0,0,12,39,24,18,100,44
Social welfare program Bolsa Família,Bolsa família,24,41,40,43,53,68,86,75,90,92,100
Sexism,Sexismo,24,44,45,32,68,49,65,88,100,82,90
Machism,Machismo,35,35,34,39,31,29,35,53,65,69,100
Feminism,Feminismo,39,37,33,36,30,32,42,70,90,77,100
Drought,Seca,44,40,43,49,61,70,77,85,84,93,100
Gun ownership,Porte de armas,41,36,25,21,19,22,23,39,41,48,100
