Search interest on the 15 political issues which rose most in search interest over the last decade in Brazil. ,,,,,,,,,,,,
"Numbers range from 0 to 100, where 100 means the highest search interest. Data from Jan 1st, 2008 to Sep 17th, 2018",,,,,,,,,,,,
English,Portuguese,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Labour reform,Reforma trabalhista,0,0,0,0,0,0,0,0,3,100,67
Fake News,Fake News,0,0,0,1,1,2,3,3,5,17,100
Feminicide,Feminicídio,0,0,0,0,0,2,3,31,20,37,100
Operation Car Wash,Operação Lava Jato,0,0,0,0,0,0,35,100,89,46,54
Militar Intervention,Intervenção Militar,0,0,0,0,0,0,4,13,8,15,100
School without Party,Escola sem partido,0,0,0,0,0,0,2,4,100,56,36
Federal Intervention,Intervenção Federal,0,0,0,0,0,0,0,0,0,12,100
Political Reform,Reforma Política,0,12,0,28,5,38,40,100,28,39,10
Net Neutrality,Neutralidade da rede,0,0,0,0,0,14,40,25,19,100,41
Social welfare program Bolsa Família,Bolsa família,24,41,41,44,54,69,86,75,92,94,100
Sexism,Sexismo,24,46,47,30,68,48,63,88,100,81,84
Machism,Machismo,38,36,34,40,31,30,36,53,67,71,100
Feminism,Feminismo,43,38,35,37,32,34,44,73,95,83,100
Drought,Seca,45,40,44,49,62,69,77,85,85,93,100
Gun ownership,Porte de armas,40,38,26,22,20,23,25,39,43,50,100
