Search interest in 15 top searched political issues over the last decade in Brazil. ,,,,,,,,,,,,
"Numbers range from 0 to 100, where 100 means the highest search interest. Data from Jan 1st, 2008 to Oct, 4th, 2018. Source: Google Trends",,,,,,,,,,,,
English,Ano,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Education,Educação,100,97,88,77,67,66,65,64,62,63,62
Health,Saúde,100,97,92,86,77,77,80,80,82,90,95
Employment,Emprego,92,96,89,85,84,83,88,100,98,86,84
Tax,Impostos,72,100,82,59,55,64,64,72,64,65,69
Crime,Crime,95,96,100,86,80,80,80,82,80,81,87
Environment,Meio ambiente,100,90,72,61,51,46,41,40,39,37,34
Petrobras,Petrobras,100,57,61,54,43,30,44,41,25,22,31
Unemployment,Desemprego,53,73,64,63,57,56,68,100,84,76,77
Abortion,Aborto,100,83,77,64,66,61,73,78,90,82,98
Social welfare program Bolsa Família,Bolsa família,24,43,42,44,55,71,90,76,95,94,100
Polution,Poluição,100,77,57,48,39,37,36,35,33,31,31
Drought,Seca,50,50,47,46,55,64,85,90,88,96,100
Adoption,Adoção,88,100,95,79,79,77,77,80,90,86,82
Immigration,Imigração,100,65,53,43,41,37,40,54,50,54,57
Poverty,Pobreza,100,86,81,75,79,71,75,71,77,77,82
