Search interest in 15 top searched political issues over the last decade in Brazil. ,,,,,,,,,,,,
"Numbers range from 0 to 100, where 100 means the highest search interest. Data from Jan 1st, 2008 to Sep 23rd, 2018. Source: Google Trends",,,,,,,,,,,,
English,Portuguese,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Education,Educação,100,96,88,79,67,64,65,65,63,62,61
Health,Saúde,100,96,93,86,78,79,80,80,82,91,93
Employment,Emprego,91,95,89,85,82,83,86,100,98,88,83
Tax,Impostos,71,100,81,58,54,61,61,70,63,64,68
Crime,Crime,98,98,100,87,82,82,81,84,81,82,88
Environment,Meio ambiente,100,87,72,60,50,45,40,39,38,37,33
Petrobras,Petrobras,100,55,60,53,41,29,44,39,24,21,30
Unemployment,Desemprego,54,73,63,62,57,54,65,100,85,76,77
Abortion,Aborto,100,82,78,64,64,62,72,77,87,79,94
Social welfare program Bolsa Família,Bolsa família,25,41,41,43,55,70,86,74,94,95,100
Polution,Poluição,100,75,55,48,38,36,34,34,33,31,29
Drought,Seca,51,49,45,45,53,61,81,89,84,93,100
Adoption,Adoção,89,100,97,79,77,77,78,80,90,87,82
Immigration,Imigração,100,64,52,43,39,37,39,51,48,53,55
Poverty,Pobreza,100,87,83,76,78,73,76,73,76,78,81
