US,% change from 2004 to 2022,UK,% change from 2004 to 2022
why dont we do it in the road,1821%,for no one,1821%
dont pass me by,1819%,lovely rita,1819%
cry baby cry,1606%,the fool on the hill,1606%
only a northern song,1501%,you really got a hold on me,1501%
for no one,1233%,words of love,1233%
happiness is a warm gun,1193%,matchbox,1193%
i am the walrus,892%,revolution 1,892%
im down,863%,honey dont,863%
ill follow the sun,861%,ill get you,861%
sie liebt dich,860%,her majesty,860%
im looking through you,860%,i want to tell you,860%
shes leaving home,860%,blue jay way,860%
its only love,860%,shes a woman,860%
honey dont,860%,fixing a hole,860%
mother natures son,859%,ive just seen a face,859%
long long long,754%,she loves you,754%
revolution 9,747%,one after 909,747%
we can work it out,729%,dear prudence,729%
im so tired,723%,day tripper,723%
i want to tell you,721%,a hard days night,721%
lucy in the sky with diamonds,712%,happiness is a warm gun,712%
cant buy me love,700%,sexy sadie,700%
matchbox,686%,michelle,686%
rocky raccoon,639%,from me to you,639%
she said she said,639%,boys,639%
you like me too much,620%,twist and shout,620%
love you to,620%,julia,620%
eight days a week,620%,tomorrow never knows,620%
in my life,583%,helter skelter,583%
got to get you into my life,566%,paperback writer,566%
old brown shoe,565%,what goes on,565%
not a second time,540%,please mr postman,540%
maxwells silver hammer,540%,savoy truffle,540%
across the universe,537%,i should have known better,537%
i will,526%,a day in the life,526%
a day in the life,519%,and your bird can sing,519%
carry that weight,511%,if i fell,511%
getting better,503%,hello goodbye,503%
your mother should know,500%,its only love,500%
the ballad of john and yoko,500%,thank you girl,500%
from me to you,496%,theres a place,496%
revolution,487%,things we said today,487%
michelle,478%,i saw her standing there,478%
the fool on the hill,476%,with a little help from my friends,476%
if i fell,455%,i will,455%
helter skelter,452%,eight days a week,452%
julia,433%,yesterday,433%
blackbird,432%,help,432%
yes it is,424%,all you need is love,424%
she loves you,400%,i am the walrus,400%
piggies,397%,i feel fine,397%
day tripper,381%,revolution 9,381%
mr moonlight,380%,act naturally,380%
komm gib mir deine hand,380%,she said she said,380%
with a little help from my friends,380%,back in the ussr,380%
revolution 1,380%,penny lane,380%
within you without you,380%,martha my dear,380%
and your bird can sing,380%,run for your life,380%
the continuing story of bungalow bill,380%,tell me why,380%
yellow submarine,374%,sun king,374%
a hard days night,364%,all together now,364%
glass onion,350%,honey pie,350%
martha my dear,343%,slow down,343%
hey bulldog,343%,please please me,343%
words of love,337%,something,337%
boys,336%,across the universe,336%
and i love her,335%,yellow submarine,335%
do you want to know a secret,330%,magical mystery tour,330%
hey jude,328%,love me do,328%
maggie mae,327%,and i love her,327%
till there was you,322%,we can work it out,322%
yesterday,310%,lady madonna,310%
magical mystery tour,305%,the end,305%
strawberry fields forever,303%,blackbird,303%
fixing a hole,295%,rain,295%
eleanor rigby,293%,let it be,293%
all my loving,287%,hey jude,287%
im a loser,285%,ticket to ride,285%
polythene pam,284%,no reply,284%
penny lane,284%,while my guitar gently weeps,284%
you never give me your money,273%,girl,273%
sun king,269%,revolution,269%
all together now,266%,strawberry fields forever,266%
im only sleeping,263%,nowhere man,263%
