"Distribuição no interesse de busca nos candidatos abaixo, para as suas capitais, últimos 7 dias",,
Cidade,Candidato,Participação nas buscas (%)
Belém,Edmilson Rodrigues,64
Belém,Everaldo Eguchi,36
Boa Vista,Arthur Henrique,53
Boa Vista,Ottaci,47
Manaus,Amazonino Mendes,57
Manaus,David Almeida,43
Porto Velho,Hildon Chaves,33
Porto Velho,Cristiane Lopes,67
Rio Branco,Socorro Neri,76
Rio Branco,Tião Bocalom,24
Aracaju,Edvaldo Nogueira,81
Aracaju,Danielle Garcia,19
Fortaleza,Sarto Nogueira,54
Fortaleza,Capitão Wagner,46
João Pessoa,Cícero Lucena,28
João Pessoa,Nilvan Ferreira,72
Maceió,Alfredo Gaspar de Mendonça,9
Maceió,JHC,91
Recife,João Campos,40
Recife,Marília Arraes,60
São Luís,Eduardo Braide,68
São Luís,Duarte Júnior,32
Porto Alegre,Sebastião Melo,47
Porto Alegre,Manuela d'Ávila,53
Teresina,Dr. Pessoa,75
Teresina,Kleber Montezuma,25
Goiânia,Maguito Vilela,83
Goiânia,Vanderlan Cardoso,17
Cuiabá,Emanuel Pinheiro,92
Cuiabá,Abílio Júnior,8
Rio de Janeiro,Marcelo Crivella,43
Rio de Janeiro,Eduardo Paes,57
São Paulo,Bruno Covas,39
São Paulo,Guilherme Boulos,61
Vitoria,Delegado Pazolini,66
Vitoria,João Coser,34
